评论数,阅读数,时间,标题,内容
22,12911,2017-10-21,山西证券2元8毛申万宏源3元1毛！,"
山西证券2元8毛申万宏源3元1毛！ 
"
9,5174,2017-12-14,美国加息到百分之3中国加息到百分之6还会远吗？,"
                            
                            美国加息到百分之3中国加息到百分之6还会远吗？ 
                        "
8,6289,2017-12-07,光大银行H股6.28港元的净资产贱卖你3.55港元,"
                            
                            据14家券商机构预测的光大银行明年每股收益平均值为0.72元人民币,即0.85港元,以3.55港元投入06818光大银行H股后,可以每年获得0.85港元的收益,年收益可达23.9%光大银行现在的每股净资产5.31元(三季报5.22元加之后66天盈利0.09元)按中国外汇交易中心昨日汇率100:84.588算每股净资产6.28港元,市价3.55港元低于每股净资产6.28港元的2.73港元,折价43.5%,市净率0.565,市盈率4.18年度 预测机构数 最小值 均值 最大值 ==最小值 ==均值==最大值 2017-----14-----0.64===0.67==0.69===297.82==313.43==322.09 2018-----14-----0.66===0.72==0.76===307.82==334.09==354.76 2019------9-----0.71===0.75==0.81===329.12==349.81==378.61 机构名称 研究员 预测年报每股收益（元） 预测年报净利润（元） 报告日期 ----------------2017-2018-2019-2017预测 2018预测 2019预测 中信建投 杨荣 ==0.68 0.75 ===- 318.21亿 349.93亿 =======- 2017-10-31 中银国际 田世欣 0.68 0.73 0.76 318.13亿 339.26亿 356.47亿 2017-10-31 海通证券 林媛媛 0.67 0.72 0.79 311.94亿 337.56亿 367.54亿 2017-09-07 民生证券 李锋 ==0.67 0.69 0.72 314.00亿 323.00亿 335.00亿 2017-08-28 平安证券 励雅敏 0.67 0.70 0.74 312.35亿 326.77亿 344.68亿 2017-08-28 安信证券 赵湘怀 0.67 0.69 0.71 314.40亿 321.89亿 329.12亿 2017-08-27 东吴证券 马婷婷 0.68 0.71 0.76 315.97亿 331.70亿 352.48亿 2017-08-27 华泰证券 沈娟 ==0.68 0.71 0.74 315.42亿 329.82亿 347.29亿 2017-08-27 申万宏源 王胜 ==0.67 0.72 0.81 310.60亿 335.16亿 378.61亿 2017-08-27 目前光大银行H股68.63亿股,股东988户 Ocean Fortune Investment Limited境外法人1,605,286,000股H股3.44%中国人寿再保险有限责任公司 境内法人1,508,736,000股H股3.23%中国再保险（集团）股份有限公司 境内法人 376,393,000股H股0.81%中国光大集团股份公司 172,965,000股H股0.37% 前四大H股股东合计36.6338亿股,后984户合计持股31.9968948亿股。 2017年5月2日，光大银行发布公告,定向大股东和央企华侨城增发65.69亿股H股筹资约350亿港元, (其中华侨城认购42.38亿H股，光大集团认购23.31亿H股)，认购价为每股5.3283港元，2017年7月26日公告：中国银监会原则同意本行非公开发行不超过58.10亿股H股股票的方案；同意中国光大集团认购不超过16.1亿H股，同意华侨城集团认购不超过42亿H股,目前就等证监会的批复,预计在4个月左右将实施定向光大集团和华侨城增发.定增价5.3283港元. 
                        "
43,33003,2017-11-23,股灾5.0来了，后面一天一百点小意思！,"
                            
                            赌民尽情享用吧
"
2,2836,2017-11-19,先3478到1849，现3450到哪？,"

"
57,70977,2017-12-31,盘口小结2017年，并展望2018年！,"
                            
                            2017年小结：大盘（五大指数：上、深、沪深300、中小板、创业版）和中国经济一样，稳中有进幅度不大。其中原因：1，全球经济复苏较明确全球股市跟进呈现出与经济正相关态势。A股表现相对较差的原因是大盘大底区尚未到位，去杠杆的目标任务尚未完成，由于A50板块的PE值总体较低（多数PE值在10以下），引来了大资金抱团取暖的效应。尤其是保险资金的入场效应，险资入市是无成本资金入场（长投只赚不赔）推波助澜了A50行情。2，市场周期律A股上一轮高点（5178）呈现在2015年6月，到2017年6月整满2周年，部分周期股要有所表现（如有色金属板）也在情理之中。3，创业板并未跟进业绩变脸率太高（包装上市），解禁股比率太多，受到香港创业板负面影响过大等4，全年成交量较2016年减少近1成。说明场外增资意愿不强。-------------------------------------------------------------------------------2018年展望：历史经验，距离2015年6月高点时间周期越远，机会越多。年初风险大，机会小，年中机会多。具体细节将在下一年度的具体预测分析中阐述。预祝大家：2018年新年快乐，投资成功！嘻嘻哈哈。。。 
                        "
232,144186,2017-05-30,无形之手强硬干预将告一段落，市场也将重新回归,"
                            
                            从4月中旬开始，展开的由一行三会联手发动的这波政策调控，从上周末开始似乎发生了一些戏剧性的变化，之所以说它有戏剧性，因为这翻手为云覆手为雨的理由和过程也太像剧本中的情景了，虽然有点儿戏，不过人家也照样演得合情合理。其实这波人为调控的理由并不难理解，前几个贴我都有重点说过：今年的主线就是国改大蓝筹，经过一季度的休整后，二季度要重新切回主线，所以需要一次震仓和换筹。然而如果只是技术上的震仓，倒也没有必要非得砸出恐慌、砸出绝望，那又为什么这么做呢？我不清楚！我只知道：截至3月底，首批养老金已经到账并开始投资，4月15号开始打击市场投机炒作，随后一行三会相继推出金融降杠杆等措施，股市便毫无抵抗的下跌近300点，然而人社部4月25晚间才披露了，地方养老金投资运营最新进展。当时我就明白了为什么要震这么深，原来是要一举两得、一箭双雕！高！我说他高，不是因为佩服这种伎俩有多高明，而是佩服他们的新闻报道“真及时”然而我说它有戏剧性，还不止是这些，真正的好戏从来都不在开场的时候，而是完美的谢幕……。最后我再次重申大半个月来我一直强调的，3000点附近就是这波人为调控的低点，它的性质有如13年6月那波金融压力测试时的低点，筑底之后市场将重新回到自身运行轨迹，我一直强调的今年主线，也将开始进入主升阶段。 
                        "
9,5444,2017-12-30,静静喜欢西子多好啊,"
                            
                            静静喜欢西子多好啊 
                        "
10,10978,2017-11-12,韭菜不怎么好割了，那就先来几个大神给你们上课,"
                            
                            韭菜不怎么好割了，那就先来几个大神给你们上课，教你们什么金叉死叉，顶背离，底背离，这个缠那个论，等你们全学会了，那就好割了，按教材割就好了。尼玛，城市套路太深了，我要回农村。回农村一看，连青菜都是助长剂培养的，套路一样深。唉…… 
                        "
6,4934,2017-11-30,媒体告诉你4000点是起步，那肯定还要跌一倍到20,"
                            
                            媒体告诉你4000点是起步，那肯定还要跌一倍到2000点！ 
                        "
67,16116,2017-11-17,明年大多个股翻倍，过来五毛老师，你悟性大过来,"
                            
                            明年大多个股翻倍，过来五毛老师，你悟性大过来论证，别把一切正确的观点 
"
13,9192,2017-08-01,炒股，是一个修心的过程，他能让一个人从心浮气,"
                            
                            炒股，是一个修心的过程，他能让一个人从心浮气躁，变得坚强不屈，心态得到无限大的磨砺～当你把金钱看得一文不值时，你会发现，其实财富也就随之而来～所谓的财源滚滚来，并不是苦苦去求财，而是财来找你～做人何必活得如此累呢，给自己多一些时间，享受生活吧，比股市重要的事情很多，比如：家庭，情亲，友情，爱情，健康，等等
"
11,10299,2017-10-05,我三板宝1,"
                            
                            每个股票都有他发展规律，你觉得没有规律是因为你没有深入理解、没有掌握股票自身规律，才觉得没有规律，谁掌握规律谁赚大钱，顺势力则昌，逆势则亡，做股票是技术活，不是赌场，瞎猜、瞎蒙、瞎买、最后瞎忙，输了钱还浪费生命，技术就是技术，资金是跟市场走，市场是跟基本面走，基本面是跟政策面走，政策面是跟技术走，技术只有我三板宝1能破解，今天华信停盘再次证明我三板宝1的真理是千真万确，是经得起市场检验的！只有我三板宝1一人能破解股票密码、掌握股票发展规律，谁破解密码，谁就掌握市场，谁就能赚大钱！无所不知，无所不能，人脑+电脑、技术+经验、熟练+技巧=发大财，哈哈哈哈又预测准了！ 
                        "
24,17746,2017-09-02,上证指数局部牛市已经开始至⋯,"
                            
                            今年2017年底 
                        "
1,1099,2017-05-11,a股最大的风险来自低流通比发行新股,"
                            
                            a股最大的风险来自低流通比发行新股 
                        "
50,37426,2017-12-30,交易的真谛~等待(迎接2018) 除了风毛麟角的少数,"
                            
                            交易的真谛~等待(迎接2018)除了风毛麟角的少数股票。绝大部分股票都遵循这样一个规律(可翻看历史月k线)。漫长的下跌。漫长的横盘。短暂的上涨。如果每年50%的利润。应是公认的的高手吧。10万5年复利70万。但这很难做到，包括一些私募基金高手。但下跌2年，横盘2年后。一年中牛市拉升。5至10倍股比比皆是。足够的跌幅，才有足够的廉价筹码。足够的横盘。才有充分的筹码交换。快速的上涨。才能拉出空间。有更多新手入场。2018年仍是艰难的一年。虽然许多次新跌幅巨大。但尚未见到横盘的迹象。所以大多数股票仍将探底，筑底。空仓，仓轻可游击出战。融资客还掉融资，用自己的钱坚守。逢低买入的真谛是在探底，筑底成功后向上发力的附近重仓介入，坚定持有。(多数股票横盘穿越60周均线，回踩的时点。尤其是次新)市场是残酷的。除了祝福，更多的是在寂寞中学习思考。其实，未来早己存在在历史之中。用江恩大师的话来说，早己存在在我们之前久远的年代！ 
"
1,2475,2017-12-25,既生余，何生股市,"
                            
                            既生余，何生股市 
                        "
11,20606,2017-09-20,前面几贴都是研究上涨的股票，今天我们来谈谈混,"
                            
                            前面几贴都是研究上涨的股票，今天我们来谈谈混改大戏之中国联通，这票我在其他吧友贴里看见很多人询问，连跌了二十多天了，怎么回事？有的问可不可以吃点货？等等估计这票套的人应该不少。好、言归正传，中国联通复牌两板，23号收巨量阴，24号 阴线放的量也不小。这本身股价已在高位，收出巨量阴线还连续两天，基本可断定主力已出逃，结果是随后股价沿5、10日均线持续下跌，这样的趋势，我分析一定是遭遇主力打压，而且后市极有可能分为两波强势主跌，第一波主跌浪已完成，接下来做弱势横盘，横盘结束后，向下变盘开启第二波主跌 初步预计将在6.15元附近止跌回升！不排除有三浪主跌的可能性，现在说三浪有点为时尚早！但二浪应该是跑不掉的。最后说说霸天兄回复股友的，本周先一震，然后就弹起来恐怕要落空了哦！这也只是我的猜测，具体我们就等本周走出来再看吧！ 
"
190,175430,2017-12-19,第一张图:煤指周线图。 绿红~绿红，一个上N，黄,"
                            
                            第一张图:煤指周线图。绿红~绿红，一个上N，黄点为划园。红绿~红黄，回踩一，回踩二，后面是主升。以前发帖都讲过。注: 这张图完美讲述了后面这句话。股价上涨翻线~均线金叉~翻线回踩~不破金叉=买点。第二，三张图:券商周线图。四绿点做底，后面有一波翻线行情。绿~红。注:macd（周线）围绕0轴（附近）上下运行（重点关注）随时会起一波。日线同理。月线级别更大，多为主升。你们不要只看曲线，要学会看具体数字（0轴附近）。券商板块就像今年年中的煤板块挖坑是一样的，当初阳煤也是向下建仓（破6抢），阳煤当初图形不难看？阴极反阳，老祖宗的话要记牢。为什么关注券商？这个板块对指数影响大太重要了，为什么只看一波反弹？因为和煤板一样会深度回踩。券商板块不会缺席的，当他们起来时，其它就会很差，散户大都数跟错节奏，涨高的追进套，找底的不敢买。为什么不敢买？因为图形太难看。当初阳煤一路下跌至到破6，日，周，月图形都难看，现在券商同也。仅供参考，风险自负。2017.12.18 
"
365,236224,2017-09-05,波浪理论：3016以来的浪型及之后的调整预判,"
                            
                            缺口补不补不能对后世做出准确判断，只是按照调整浪的大概率锯齿型调整得出这个缺口会回补。单独对缺口判断补不补本人没有依据。经供参考！！！！！！！！！！！！！！！！ 
"
239,125203,2017-09-08,创业板,"
                            
                            个人预测创业板将在绿线附近受到较强阻力出现一定幅度的震荡回调，短期高点出现位置大概率与年线位置重合，时间大致在3-5周内。调整结束后创业板将向上突破周线下降通道上轨。短线创业板将继续在60分钟上升通道中运行。 
"
62,41283,2017-12-08,波浪理论：发一张中小板的浪型供参考12月8日,"
                            
                            仅供参考！！！！！ 
"
25,13612,2017-12-01,5家！以后每周五家！,"
                            
                            5家！以后每周五家！ 
                        "
14,7475,2017-12-29,[cp]上海老梁：2017年上证指数年底收盘将收在35,"
                            
                            [cp]上海老梁：2017年上证指数年底收盘将收在3540点以上2017.1.3 5:13 老梁在上文《前瞻2017年上证指数》已经通过文字勾画了上证指数2017年的框架脉络，包括全年的趋势方向、年K线、季K线、阶段拐点的时间及空间内容。今天，老梁再告诉大家一个预言：1、上证指数2017年收盘点位将一定收在3540点以上，一定不会收在3539点以下。2、凡是跟随老梁在2016年1月末2650点、2016年5月末2900点、2016年12月末3100点进场的博友们，只要您心态稳健，只要您能拿得住筹码，那么最迟截止到今年底，您们都将成为大小赢家。但要知道，在您们成为大小赢家的时候，在同一时间，全国股民中依然会有70%的股民仍旧亏损，仍旧是输家。吻合“一赢二平七亏损”的铁律。 有人会问，老梁你怎么知道365天以后的事情，怎么知道上证今年年底收盘会收在3540点以上呢？答：今天午后，老梁与英国老头儿“霍金”小憩在伦敦OXFORD STREET牛津商业街的咖啡馆里，是霍金亲自告诉老梁的。晚饭后，老梁回到房间马上发文通报国内本博友。[/cp]感恩老师，完美的预言！券商也翻番了！
"
4,2233,2017-12-12,本周后半周大盘具备转强的条件了！,"
                            
                            本周后半周大盘具备转强的条件了！个人观点，仅供参考 
                        "
986,277617,2017-12-25,不出意外的话明后两天反弹会过掉3312甚至3322，,"
                            
                            现阶段还只能拿30分钟低点的票而且仓位要控制在3成仓以下，后面将面临大阴线的到来，大阴线杀完再加仓！ 
                        "
15,14679,2017-12-27,2018年最高点产生于10月19日附全年推演,"
                            
                            经过一个多月的转折点计算和走势推演，第一次发布自己的成果。一月份的转折点公开，其他月份的涂抹了只附上推演结果。一：一月要注意15号，大概率是最低点时间。二：二月几个转折点分布比较均匀，鉴于春节前时间段上下震荡的可能很大，预计四个波段，是涨跌涨跌还是跌涨跌涨到时自知。三：三月四月主升浪，中间会有日线级别的调整。四：五月和六月上半月转折点比较密集，这地方波动比较大，走势可以参考2017年10月和11月，2018年6月是三个长中短周期交汇的时间，这地方会有周线级别调整，波动较大，这儿给出重要的时间转折点6月15日。五：七八月份筑底，9月10月第五子浪主升。六：预计10月19日产生全年最高点，这时候一定要空仓了，11月转折点稀少，下跌途中的反弹小浪花不要参与。最恐怖的是2018年12月在我的技术体系里居然没有转折点，飞流直下？直到2019年的一月才开始有转折点。----------------------------------------------------------------------------------------------------总结：2018年最好的时光三月四月要珍惜，六月有周线级别调整要注意，九、十月第五子浪主升拿稳别乱动，十月中旬后必须休息看戏。 
"
396,110138,2017-05-18,又是一夜不眠…… 我总是喜欢往前看。不管在什,"
                            
                            又是一夜不眠……我总是喜欢往前看。不管在什么时间，沉睡中醒来，外面肯定是阳光明媚。这是开心的事，好像是那种无忧无虑的感觉吧。可有些俗事不经意就是那么可恶地冒出来，一瞬间情绪就会低下去。清静的感觉真的很好。也许闹中取静最不容易，不然为什么有那么多人还要去当驴友，还有人满世界跑着看各种各样的奇观？发了这个帖子，感觉像开着的窗户，打开着门。外面很热闹，人来人往，人声鼎沸。也许声声入耳，不必管！想写就写，心里安静就行。写不好看又不必在意，就这样吧…… 
                        "
54,21212,2017-12-22,今天是冬至，在一年中最寒冷的日子，喜啦啦给友,"
                            
                            今天是冬至，在一年中最寒冷的日子，喜啦啦给友友们送上最真挚的，最温暖的祝福，祝朋友们健康快乐好运永相伴 
"
12,7506,2017-05-25,上证50的上涨基本差不了，如50回落上证会怎样？,"
                            
                            上证50的上涨基本差不了，如50回落上证会怎样？ 
                        "
