评分,评论题目,用户名,时间,评论内容
7.0 / 10,"Part Hitchcockian whodunnit and part white-knuckle thrills, 'The Commuter' overcomes what it lacks in logic with well-executed suspense and action",moviexclusive,10 January 2018,"Hard to believe that it has been 10 years since Liam Neeson became an unexpected action star with the lean, spare but brutally effective thriller 'Taken', and in the decade that's passed cemented his late renaissance with well-executed B-movie fare like 'The A-Team', 'The Grey', 'Unknown', 'Non-Stop' and 'Run All Night'. The last three were also notable for being collaborations with director Jaume Collet-Serra, and the now 65-year-old has extended their team-up with 'The Commuter', which sees Serra further lay claim to a modern-day Alfred Hitchcock with a couple of high-wire scenes that would certainly make the latter proud.As with before, there is a high-concept scenario at the heart of this deliberately old-fashioned thriller: an everyday insurance salesman Michael McCauley (Neeson) finds his routine evening commute back home from work disrupted by the enigmatic stranger Joanna (Vera Farmiga), who sits opposite him on the Metro-North train and offers him a hefty financial reward if he is able to spot someone on the train who isn't a familiar face. In order for Michael to be tempted in the first place, first-time screenwriters Byron Willinger and Philip de Blasi set him up to lose his job on that same day, leaving him floundering over his two mortgages as well as tuition fees for his college-bound son - although because this is Neeson we're talking about, you know Michael will eventually do the right, honorable and even heroic thing.To up the ante, Michael is only given slightly more than half an hour before the train reaches Cold Spring to find the individual he is told later on goes by the name of Prynne; and to raise the stakes, it turns out that Joanna has also held his wife and son hostage, both of whom she threatens to kill if Michael fails to complete his mission. True to his Hitchcockian ambition, Serra spins an intriguing web of mystery over most of the middle act, and there are at least three riveting questions that are teased. Who is Prynne? Who is Joanna and/or the people she is working with or for? And finally, what does Joanna want with Prynne? These in turn translate into solid character work for the proverbial strangers on the train whom Michael probes to locate his mark - among them a feisty college student (Florence Pugh), an arrogant Wall Street banker (Shazad Latif), an emotionally distraught nurse (Clara Lago), a tattooed bruiser (Roland Moller) and a taciturn teenager (Ella-Rae Smith).Yet Serra is all too aware that a whodunnit in and of itself is unlikely to satiate a good proportion of his audience, who are here to watch Neeson engage in the sort of close-quarter fisticuffs a la 'Taken'. So in between playing detective, Michael also gets a couple of well-choregraphed brawls - one of them takes place in the confines between carriages, while another that is impressively done in a single take plays out over an entire carriage with everything from a gun, an ax, a guitar and seat cushions used as weapons. There is visibly concerted effort to keep these fight sequences real, so even though Neeson's character is revealed earlier on to be an ex-cop, the film doesn't (thankfully) use that as an excuse to gift him with ""a very particular set of skills"" to take down his opponents too easily, skilfully or neatly.Like other locomotive-set thrillers, this one doesn't escape without the train in question going out of control and then literally off the rails. That it is well-staged is undeniable - not even some subpar CGI in some shots can detract from the sheer white-knuckle tension of seeing almost the whole train flip into the air - but this spectacle-fuelled conclusion arguably strains the credibility of the high-concept movie even further, and is therefore both better and worse off for it. Notwithstanding, Neeson remains through and through the film's emotional centre, conveying the frustration, helplessness and resolve of a regular guy who is trying to get his life back in control from those that have snatched it away from him. Lest we forget, this is a role that the thespian can easily do in his sleep, but Neeson still brings his considerable gravitas to bear.Mind you, not all the gaps in the narrative will be filled in by the end (which seems to set up the possibility of a sequel) nor will some of the explanations pass muster under closer scrutiny. Still, a film like this isn't meant to be held up under such examination or intended to offer any more than solid B-movie guilty pleasures; on the latter count though, it does succeed brilliantly and beautifully by mixing classic Hitchcockian tension with adrenaline-pumping action. We dare say that it ranks among one of Neeson's best in his action oeuvre, and if you're in the mood for some pulpy thrills and suspense, then you'll definitely want to get on this train."
4.0 / 10,Partly quite good and partly extremely bad...,EskeRahn,10 January 2018,"Basically a good plot, good acting, a good bit of suspense, action and good effects, so how can this go wrong?Well parts of it is so ridiculous and stupid that it is hard to believe no one stopped it at the script level.. And parts are just 'over the top', sort of ""OK we have paid for effects, so now give us a truck load full"" - I was VERY close to leaving the theatre a couple of times....And this is really sad, as it could have been a good action thriller, as the ideas were good.I believe that cutting away the bad stuff that sums up to less than half an hour and replace a few minutes, and it could have been great in the genre!"
5.0 / 10,VIEWS ON FILM review of The Commuter,viewsonfilm.com,13 January 2018,Warning: Spoilers
4.0 / 10,Spoilers,hummam,19 January 2018,Warning: Spoilers
5.0 / 10,One Stop Ride,Thomas Drufke,15 January 2018,"I enjoy Liam Neeson action flicks as much as the next guy, but I also prefer say a Taken, The Grey, or Unknown over such films as Taken 2 or 3. In other words, it's as simple as saying I enjoy his action outings when they are a nice mix of fun thrills with serious overtones. To me, that's when he succeeds the most. The Commuter, which is supposedly his last action film, is a less than stellar film that revolves around another unbelievably silly (but plausible for a Neeson film) situation in which the 65 year old action star can flex his abilities.The problem I had with The Commuter was that it lacks the fun that some of Neeson's previous outings had. In large part, it mirrors another train thriller from a few months ago, Murder on the Orient Express. The mystery has some interesting twists and turns, but there just isn't enough action pizazz to keep it from being forgettable within days. In fact, I saw the movie yesterday, and I'm having some trouble remembering certain plot elements.There are some solid performances among some not so good ones. Neeson, Vera Farmiga, Patrick Wilson, Sam Neil, and Jonathan Banks do their best with a serviceable script to provide intriguing characters and plot developments that are nothing more than B-movie material. I guess that's probably the best way to describe this film, it's something that you could enjoy on a night home and scrolling through channel guide. But there's nothing nuanced or special about The Commuter. It's the prototypical January release.5.2/10"
9.0 / 10,Get on the train for THIS movie!,melliemulch867,15 January 2018,"I'm not a gifted movie reviewer like many on here (LOL), but I can tell you that my husband and I really enjoyed this movie! It's fantastic! Plenty of action and twists and turns. Great acting job by the cast and fantastic directing. This movie had me on the edge of my seat and grabbing my husband's hand. If you like suspense/action movies then you'll love this movie!"
7.0 / 10,Better than expected,nahas-marwan-453-338903,14 January 2018,"The movies is a suspense thriller that keeps you on the edge of your seat. Nothing very new or original, yet liam neeson sticks to his tried and tested formula which actually works. It's a fun movies don't over think it and you will enjoy."
8.0 / 10,A satisfactory thriller with a few distractions..........,kashidomar,10 January 2018,The movie is quite a good movie and i really think movie lovers should go at it . It is a thrill spiced movie with many suspenses and hidden turns in the story . The movie flows around a commuter train and builds all the potential actions and dramas around it. Nice to see Liam Neeson in the central role . He has done extremely well and he has delivered these stuffs to us for many times. Actions are pretty new and mindblowing. Action lovers will like it certainly. The only draw back is the monotonous story but the pace of actions and suspenses has overcome it at last . So my opinion is 8/10.
7.0 / 10,Another Frenetic Neeson Flick,3xHCCH,11 January 2018,Warning: Spoilers
3.0 / 10,This was a stupid movie,zsiga-53201,26 January 2018,"Being a big Liam Neeson fan took the girl to watch this in the theater on big screen wow the action scenes will look awesome! .. well sort of. The script is so stupid and contorted that even Neeson and Vera Farmiga's legs can't save it. Our hero is old and tired, trapped on a train, just got fired so desperate for the money, his adversaries know everything, can tap into phones, can kill everyone but they need to play this game with the hero. What a bs.I'm really surprised why Neeson took the contract he shouldn't go down the same path with Bruce Willis playing in B- movies. It was like watching a mild version of Steven Segal: Under Siege 2 without the action scenes."
8.0 / 10,Non Stop 2 -The Commuter,garytruffitt,6 February 2018,"If you enjoy Liam Neesan movies you should enjoy this. It's basically the movie Non Stop, but instead of a plane it's a train. Not much else to add other then I really enjoyed this movie"
8.0 / 10,"If you like Non Stop, you'll love this.",garytruffitt,6 February 2018,"I went to the cinema expecting to see a movie similar to Non Stop, and guess what. I was right. To be fair I don't know why they didnt just call this Non Stop 2 - The Commuter. That does not stop this from being a very good movie though. Neesan is at his very best in these sort of movies and it's no different here. The film has a very good cast and the pacing of the movie is near perfect. The only real negative is a scene which takes place later on in the film, Which lets it down a little, But other wise this is a very good movie."
3.0 / 10,Scrambled Mess,rioplaydrum,24 January 2018,"Fifteen minutes in and I had no idea what was going. Seriously.Convoluted plot, impossible dialog, very cliché CGI effects.Too many details and highly unlikely developments that over-pack a story which intends to impress and only achieves the opposite.The 'Mystery Woman' really got on my nerves. Her disembodied ubiquitous presence pops in and out on smartphones through out the train ride just to let you know she sees and hears all every second of the day and night.Right.Shortest review I've ever written.Pointless and unredeemable."
5.0 / 10,"Passable action flick, plenty of style but little substance",areatw,23 January 2018,"'The Commuter' is a stylish, well produced action movie but, as with many other films in this genre, it has a plot that fails to stand up to scrutiny. Far-fetched would be an understatement - it all feels very 'make it up as you go along', with no explanation given for much of what takes place on the train and an underwhelming ending that leaves more questions than answers.Plot aside, 'The Commuter' is a decent piece of entertainment, thanks largely to the high production value and Liam Neeson's compelling performance as the lead character. If you can zone out of the story and enjoy the fights, explosions and everything else that comes with a Liam Neeson action movie, then 'The Commuter' is a passable action flick, but nothing that hasn't already been done before."
5.0 / 10,See Only If You Like Stupid Conspiracy Crime Movies With Liam Neeson,AudioFileZ,21 January 2018,"If you're going to roll out Liam Neeson once more as the everyman terminator I guess you'll get a certain built-in audience which seems proven. What's the setup this time? Ahh, a aged man suddenly in a particularly vunerable state fighting for his family's safety usually makes one...check. Badguys who give you a mission you must complete to save your family to which you aren't sure who the badguys actually are...check. And everything important occurs on a train. Ahem, that's a blend of something akin to Hitchcock meets a bit of action. This could be interesting if the story line is perhaps?The Commuter takes a spotty murderous game and seeks to throw in enough reality with mysterious complications forgetting to question how ridiculous the actual game is. Since the baddies seem to know enough to assinate their target we're suppose to believe they need to preposturously manipulate Neeson's character instead. But why? The whole idea seems needlessly contrived.After watching the film I felt like the only reason I watched was to make more sense of something so wrong. Neeson plays the role with the right degree of desparation alright as he seems like a doomed ping-pong ball in his search for his target. He seems both on the edge as well as determined, with little chance of success. Of course we already know we must have him not fail and that waters an already confusing silly story.If Liam Neeson couldn't play this role so well this film would be, well, needless in most every regard. Admittedly there is something to seeing him constantly being a hair from disaster yet hanging on that is compelling. It doesn't really make any sense however and the ending feels totally as an ""Hail Mary"" attempt to tidy it all up. I really can't recommend it as sush."
5.0 / 10,Dead title dead storyline felt rushed and unbelievable,Bajyohface,21 January 2018,"They tried to do too much and it didnt work, not believable enough like taken unknown run all night non stop. Neeson is playing an old man in the movie. We don't realise but hes actually quite old for an action hero.
Its like they took good scenes from different movies and put it all together...Mixed it up...blended it...added liam neeson...overpromoted it and voila u got a dead movie. And im a neeson fan! Its got the same directors as non stop and run all night which were enjoyable movies. Although even in non stop, the last 20 minutes was rushed and solved too quickly and unbelievably. Sorry Liam. U r still the man but just not in this mpvie. I hate it when good actors do dry movies getting washed up in the process. Like Bruce willis"
6.0 / 10,Derails off the tracks,Corey James,19 January 2018,"This review of The Commuter is spoiler free*** (3/5)LIAM NEESON COMES with baggage, that's inevitable after years of being caught in action thrillers that have both earned him a spotty track record but it's also given him a particular set of skills, these he can use to pull punches, kick a few people and even pull out a gun or two. Granted this may lead you to quote that infamous line from the first Taken - go ahead then, but it also means that he's never really boring even though some of his movies certainly are. 
 
Though his track record isn't all bad or all boring as he has, on occasion between franchises stepped over a few high peaks (The Grey, A Walk Among the Tombstones are worth the mention), but also in that time he's also stepped into a puddle of deep, deep mud (Battleship, Taken 2 and 3) and often it seemed that he would never really get away from that plot. So, yes this particular set of skills can get him out of some heavy sh*t, but sometimes that can be hard to get out of if indeed it's anything like Battleship. Still, he manages to stay entertaining and it's his many collaborations with director Jaume Collet-Serra that make him an entertaining asset to action. Firstly, Unknown (nobody knew him), next Non-Stop (he killed on a plane), and lastly in Run All Night (he saves his family from danger). However their fourth time as a duo The Commuter is indeed their best yet. Plot-wise it's like it is the sequel to Non-Stop, however his acting chops carry the film and he proves that he can play his way around some Hitchcockian twists. 
 
Here he has to chase a stranger on a train, in an effort to get information and the hitch is that he has to do it while on the train. Granted the plotting doesn't make much sense and the logic bomb detonates before the train leaves the station, but it's the dedication of Collet-Serra to work in small spaces and Neeson's will to raise the tension while finding this person. Also the murder mystery plotting sounds like an Agatha Christie adaptation, and sure in small doses it can be, though the train isn't as lavish as The Orient Express also the supporting players are nothing like that. Still what there is on offer for the supporters is another team-up with Vera Farmiga and Patrick Wilson except here they don't share any screen time together. In short, The Commuter isn't exactly a thoughtful thriller thanks to the workmanlike scripting but it is surprisingly entertaining and that is worth the watch.VERDICT Neeson is thrilling to watch in this surprisingly enjoyable if a little forgettable crowd-pleaser that takes you on a thrill ride - in more than just one way."
5.0 / 10,Just a one way ticket please,Grumphy,18 January 2018,"The CommuterStory is a bit. Well. What do you expect? It's a full on action flick. Though it has some redeeming moments, a few clever twists or turns can't save it from the banality that it promises (and delivers). To clarify, there are more not-quite-so-clever twists. Acting is okay. Though as of late, Liam seems to be doing mostly more action oriented projects for some reason, he has skills that he's acquired over a decently long career and know how to use them. Even if he has to play roles as inane as principled ex cop with money troubles on a train. His co stars, or co passengers, pull something around their own weight. They play their parts as they are, they're not really playing characters, with little time (or need) for development. The jerk is a jerk, the teenage girl is a teenage girl, the random friend is a random friend etc. Visually the film is laughable at times. It's not Scorpion King level bad, but the CGI is terrible. On the plus side, those moments add to fun. I guess. Also the camerawork tends to go overboard for no reason other than... I don't know. It looks cool? It might've if they wouldn't have mixed it with bad CGI. These sort of things tends to happen when you've got nothing to show. Fight screens are decent(ish).Sound or music wise I'm trying to remember if there is anything to comment. I can't think of anything so I'm putting it on the plus side. Emotions and atmosphere seem written, not to say forced. The director Jaume Collet-Serra was either offered a lot of money to do this or he is also very principled and does not negotiate with terrorists. He should, however, make an exception and try to negotiate with the producers, because this could've been a totally different kind of film. But everybody likes fireworks I guess. Even if they don't mean anything. Because they mostly don't. So you forget them soon after."
,Next Stop: Predictablity,george.schmidt,18 January 2018,Warning: Spoilers
6.0 / 10,"Nothing really new for Neeson, but still kinda fun",bigfatmouth-23883,16 January 2018,"I admit that Neeson's films are a bit formulaic, but it can still be a fun time to while away some time. He certainly doesn't break any new ground and his nemesis doesn't break much ground, either.Perhaps someone can clear something up for me regarding normal MTA -vs- commuter rail. Is it safe to assume that a commuter rail train leaving Penn Station would not be stopping at MTA stops in Manhattan? I'm not even from NYC, but I was fairly certain commuter rail lines wouldn't have their first stop until they were at least out of Manhattan. That really bugged me in this move."
9.0 / 10,Liam Neeson Rocks in This One!,TheTruthDoor,15 January 2018,"The Commuter is a rocking good time! Yes, it's a little over the top at the end...but it is still fun. Yes you have to NOT question parts of the logic (Liam Neeson working in an office selling life insurance...no way) but that is part of the fun of watching this film.The plot was very good and had some surprises in it even though most of the situations have been seen before. The sound and cinematography were excellent. Here I will sum up ""The Commuter"" for you: slow meaningful start, fun thrills in the middle, and a wild over the top ending. What fun!Go see ""The Commuter"", I promise you will not get ""Taken""! TheTruthDoor never lies!"
7.0 / 10,decent entartainment for a plot fitting the lead actor,antoniotierno,15 January 2018,"The story puts Liam Neeson through his violent paces for a fourth time, swapping out Non-Stop's plane for a commuter train and tossing in some financial anxiety for motivation. It's funny in a way, but packed with a lot of adrenaline and action scenes. The mystery is less a whodunit than a whogotit, the ""it"" being a bag containing something stolen that the owner is desperate to recover. If you don't think too hard about why Neeson gets brought in or how the baddies operate or what the point is, you may be able to enjoy it. At least until the final act, when the film goes off the rails. Overall the plot's unlikelihood is really excessive but acting is good, as usual when Neeson is involved."
7.0 / 10,Better than I expected!,Gavin Purtell,15 January 2018,"'The Commuter' is the 4th film directed by Collet-Serra starring Liam Neeson - and it's better than 'Non-Stop' (the one on a plane), but not quite as good as 'Unknown' (the amnesia one). Neeson is struggling to pull off looking even 60 (dyed hair doesn't hide it), but luckily there isn't as many stunts as 'Taken' here. Michael (Neeson) is an ex-cop who now sells life insurance - why'd he leave the force? Don't know. He does, however, commute into New York City via train every day.The first 30min is quite slow & scene setting (Wilson as his ex-partner, Neill as police captain, Banks as fellow train-buddy), before Joanna (Farmiga) sets a mystery in motion that slowly reveals itself. The film slowly picks up pace as more clues are revealed and the body count slowly, but almost plausibly rises (six in total, I think). There's a stand-off at the end, but it's still all over in 100min.I think because my expectations were so low, I enjoyed this more than I might otherwise have. The tension is built quite well, the score's good, the fight scenes are (mostly) realistic and the story, while far-fetched, is not totally unbelievable - some of the stunts are, but that's to be expected. Certainly nothing new or revolutionary, but an enjoyable action/thriller that doesn't outstay it's welcome."
7.0 / 10,Wild Train Ride,steve beard,15 January 2018,Warning: Spoilers
6.0 / 10,Perfect January Movie,RJBrez,15 January 2018,Warning: Spoilers
7.0 / 10,Liam Neeson is greater than,Jon Ochiai,14 January 2018,"Liam Neeson elevates ""The Commuter"". Again, Neeson is way better than the material of the movie. Paradoxically, Director Jaume Collet-Serra's ""The Commuter"" poses as an action movie, but is really more thriller that contains action in the narrative genre. The screenplay by Byron Willinger, Philip de Balsi and Ryan Engle is very slow going from the exposition of the set up. Too bad. ""The Commuter"" opens with the provocative premise. Mysterious beautiful Vera Farmiga's Joanna asks commuter train passenger Michael, played by Neeson, ""What kind of person are you?"" Michael we learn from the introduction and series of flashbacks is an Insurance Agent for a large firm in New York City. He is laid off from his job after 10 years of service. This could not have happened at a more inopportune time. Michael and his wife Karen, caring Elizabeth McGovern, are strapped financially having to take out 2 mortgages on their home to send son Danny, played by Dean-Charles Chapman, to Syracuse University in the fall. Michael is a good man. He was an NYPD Officer before retiring to work insurance. Patrick Wilson plays Alex, Michael's dear friend and former Police partner. Too bad McGovern isn't leveraged more here. It is nice seeing her again in movies. After his layoff notice and riding the Commuter train home, Michael sits with Joanna, who offers him $100K if he agrees to determine what passenger on this train doesn't belong. This is more than hypothetical inquiry. What kind of person is Michael? Well, we kind of know through Neeson's persona that he is the noble Hero. Too bad also, charismatic Farmiga is relegated to her voice on mobile phone calls as Michael seeks to solve this puzzle, and save the lives of both Karen and Danny. Neeson is strong as the Michael desperately uses his will, wits, and action skills to save his family in the structured web of lies and betrayal. The ""idiot plot"" is that Joanna should know better than to f with Michael. After all he is Liam Neeson. To that point ""The Commuter"" almost drags and tests your patience waiting for Neeson to unleash upon the villains. Almost. Neeson does deliver with both physical fury and gravitas. Again, he is way better than ""The Commuter"" itself. Unfortunately, having created an intriguing premise into human nature the movie forgets that morphing into a chase and discover narrative-kind of ordinary. Collet-Serra and his writers could have been more ambitious. Liam Neeson deserved better. In a sense so do we. ""The Commuter"" is good mostly, because of Neeson. However, even our Hero can only do so much. This is not a great movie. Yet, it is entertaining. This may have been greater with a little more care and intention."
7.0 / 10,Entertaining...,andrea_m_rodriquez,14 January 2018,"If you enjoyed the ""Taken"" movies, you should enjoy this one. Starts pretty slow, but picks up the pace 20-30 minutes into the movie. It was a good movie, forgettable and typical, but good. Worth a watch at least once."
