标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付
地铁口阿里旁 50年产权精装LOFT公寓 民用水 ,http://short.58.com/zd_p/7b5935bd-26e4-408e-977f-9c1a634b2b92/?target=eh-16-xgk_psfegvimob_88529432945119q-feykn&end=end,100                                万（单价16666                                元/㎡）,2室2厅1卫,60㎡,南,中层/共12层,豪华装修,50年,2010年,公寓,商住两用,30                                万（月供2871元/月）
紧邻西溪湿地 豪装|+送软装 户户景观阳台 拎包 ,http://short.58.com/zd_p/8268b1c1-067e-4a96-a2ee-96967020ce5b/?target=eh-16-xgk_psfegvimob_88500255034585q-feykn&end=end,100                                万（单价31250                                元/㎡）,1室1厅1卫,32㎡,南,低层/共6层,豪华装修,70年,2017年,普通住宅,商品房,30                                万（月供2871元/月）
三室两厅两卫 双阳台 采光好 ,http://short.58.com/zd_p/fbd07412-adbf-4c45-a88c-c6a6bb01e40e/?target=eh-16-xgk_psfegvimob_88851566047015q-feykn&end=end,235                                万（单价18359                                元/㎡）,3室2厅2卫,128㎡,南,高层/共17层,豪华装修,70年,2015年,普通住宅,商品房,70.5                                万（月供6745元/月）
多蓝水岸碧海苑豪华装修三室两厅两卫房东诚心卖中间 ,http://short.58.com/zd_p/9ebd83cf-01bb-4a39-af42-f471640dace0/?target=eh-16-xgk_psfegvimob_88134043181771q-feykn&end=end,380                                万（单价27142                                元/㎡）,3室2厅2卫,140㎡,南北,中层/共27层,豪华装修,70年,2000年,普通住宅,商品房,114                                万（月供10907元/月）
万达旁 双地铁精装LOFT两房公寓 户户送阳台  ,http://short.58.com/zd_p/9045f885-eaf2-42f1-8d29-d663b74366c0/?target=eh-16-xgk_psfegvimob_88170144084921q-feykn&end=end,100                                万（单价20000                                元/㎡）,2室2厅1卫,50㎡,南,高层/共19层,豪华装修,40年,2015年,公寓,商住两用,30                                万（月供2871元/月）
阳光郡 西边套三房 两房朝南 精装拎包入住 次新 ,http://short.58.com/zd_p/1ec0634f-a0ee-4c1e-bc93-51a1d5717fe1/?target=eh-16-xgk_psfegvimob_88521384171771q-feykn&end=end,330                                万（单价27966                                元/㎡）,3室2厅2卫,118㎡,南,中层/共28层,豪华装修,70年,2015年,普通住宅,商品房,99                                万（月供9470元/月）
地铁口 阿里旁 精装LOFT公寓 民用水电 产权 ,http://short.58.com/zd_p/0a9f73ea-1d50-4329-821e-4af4c443fa21/?target=eh-16-xgk_psfegvimob_88521229419606q-feykn&end=end,100                                万（单价16666                                元/㎡）,2室2厅1卫,60㎡,南,中层/共12层,豪华装修,50年,2010年,公寓,商住两用,30                                万（月供2871元/月）
实拍+1.4号双地 铁+ 精 装修总价156万  ,http://short.58.com/zd_p/1679a68a-93e1-4af5-a83d-92f3c5430ebc/?target=eh-16-xgk_psfegvimob_88506139080658q-feykn&end=end,149                                万（单价27592                                元/㎡）,2室2厅1卫,54㎡,南,中层/共11层,豪华装修,70年,2017年,公寓,商品房,44.7                                万（月供4277元/月）
一手现房 价格 湖景房 玉屏蓝湾新出房源 ,http://short.58.com/zd_p/a9efea4a-9944-414f-8426-d242df038957/?target=eh-16-xgk_psfegvimob_88526137057800q-feykn&end=end,185                                万（单价20108                                元/㎡）,3室2厅2卫,92㎡,南北,中层/共26层,豪华装修,70年,2013年,普通住宅,商品房,55.5                                万（月供5308元/月）
龙湖天街旁，上学6米，2号线538米，豪装60万 ,http://short.58.com/zd_p/0eedfc42-30a9-48d6-bdfb-3e5f87bdd0dd/?target=eh-16-xgk_psfegvimob_88137277367087q-feykn&end=end,330                                万（单价27500                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共22层,豪华装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）
国企巅锋之作 2号线550米 上学10米 精装3 ,http://short.58.com/zd_p/fdfc9c34-0084-4b46-b4ce-d2dd7272f3c6/?target=eh-16-xgk_psfegvimob_88176099278947q-feykn&end=end,310                                万（单价26956                                元/㎡）,3室2厅1卫,115㎡,南北,中层/共28层,豪华装修,70年,2014年,普通住宅,商品房,93                                万（月供8896元/月）
钱江国际时代广场4.8米跃层 精装修现房CBD商 ,http://short.58.com/zd_p/ed4ee65b-5a76-429f-bbfb-a4d91110e4cb/?target=eh-16-xgk_psfegvimob_88500971755144q-feykn&end=end,120                                万（单价21818                                元/㎡）,2室2厅2卫,55㎡,南北,中层/共26层,豪华装修,70年,2000年,普通住宅,商品房,36                                万（月供3445元/月）
地铁口150米 4.78米跃层公馆 精装小两房  ,http://short.58.com/zd_p/21e31a27-95c2-4491-a9c4-b041395f407b/?target=eh-16-xgk_psfegvimob_88521677468190q-feykn&end=end,60                                万（单价18750                                元/㎡）,2室1厅1卫,32㎡,南,中层/共12层,豪华装修,50年,2010年,公寓,商住两用,18                                万（月供1723元/月）
汇宇花园 接送 楼层好 看房方便满5税少 房东因 ,http://short.58.com/zd_p/c23c7cb7-f562-406f-94e8-00e4cf7fca38/?target=eh-16-xgk_psfegvimob_88540747921252q-feykn&end=end,250                                万（单价26315                                元/㎡）,3室1厅1卫,95㎡,南北,中层/共6层,豪华装修,70年,2002年,普通住宅,商品房,75                                万（月供7174元/月）
五峰山别墅 五 A景区内 现房 送精装修 送地暖 ,http://short.58.com/zd_p/e26efaf5-6b9c-4d74-8266-22c191436880/?target=eh-16-xgk_psfegvimob_83066045530292q-feykn&end=end,410                                万（单价28671                                元/㎡）,3室2厅2卫,143㎡,南北,共1层,豪华装修,70年,2017年,别墅,商品房,123                                万（月供11766元/月）
投。资。理。财看过来杭州总价28万包租公寓回。报 ,http://short.58.com/zd_p/9a4c167f-fa5c-45c3-897a-2b22a559f009/?target=eh-16-xgk_psfegvimob_88521405314498q-feykn&end=end,51                                万（单价20400                                元/㎡）,1室2厅1卫,25㎡,南北,中层/共10层,豪华装修,40年,2015年,公寓,商品房,15.3                                万（月供1462元/月）
九龙仓，160平方，豪华装修， ,http://short.58.com/zd_p/38c489f6-9815-484a-a958-51c5f5de1729/?target=eh-16-xgk_psfegvimob_83044993460128q-feykn&end=end,315                                万（单价19687                                元/㎡）,3室2厅2卫,160㎡,南,低层/共28层,豪华装修,70年,2016年,普通住宅,商品房,94.5                                万（月供9041元/月）
滨江万家名城，高档小区 40万精装修婚房全送，房 ,http://short.58.com/zd_p/f0e1b311-6830-41c5-a649-cc32fc2f13ff/?target=eh-16-xgk_psfegvimob_88593648525636q-feykn&end=end,330                                万（单价37078                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共25层,豪华装修,70年,2015年,普通住宅,商品房,99                                万（月供9470元/月）
钱江新城江景房 市政府板块 周边5条地鉄线路环绕 ,http://short.58.com/zd_p/931bbd59-1c01-4374-b99e-fb4e1b106903/?target=eh-16-xgk_psfegvimob_88142666775985q-feykn&end=end,123                                万（单价24117                                元/㎡）,1室2厅1卫,51㎡,东,中层/共38层,豪华装修,70年,2012年,普通住宅,商品房,36.9                                万（月供3531元/月）
绿都湖滨花园 精装 满2年 单价2万9 南北带大 ,http://short.58.com/zd_p/03614dd0-05af-46b5-800f-a096bc185c3a/?target=eh-16-xgk_psfegvimob_88179268158808q-feykn&end=end,450                                万（单价28662                                元/㎡）,4室2厅2卫,157㎡,南北,低层/共25层,豪华装修,70年,2010年,普通住宅,商品房,135                                万（月供12914元/月）
安吉香缇溪岸 享受天然氧吧 与国宝大熊猫为邻 近 ,http://short.58.com/zd_p/b19237b1-8eee-4bd3-8fad-5f4b99636708/?target=eh-16-xgk_psfegvimob_83066063751973q-feykn&end=end,286                                万（单价13364                                元/㎡）,4室2厅2卫,214㎡,南北,共1层,豪华装修,70年,2017年,别墅,商品房,85.8                                万（月供8209元/月）
全明户型 南北通透 精装修拎包入住 小区位置好  ,http://short.58.com/zd_p/4a56d37c-dc76-43d5-8678-572f1e5ce522/?target=eh-16-xgk_psfegvimob_88149546704484q-feykn&end=end,280                                万（单价30107                                元/㎡）,3室2厅1卫,93㎡,南,低层/共18层,豪华装修,70年,2008年,普通住宅,商品房,84                                万（月供8037元/月）
"新出天长本部,电梯房,婚房装修没住过,看房方便急 ",http://short.58.com/zd_p/e0edd3c1-86ae-46fc-ae58-982f1baca685/?target=eh-16-xgk_psfegvimob_88146084213471q-feykn&end=end,498                                万（单价50816                                元/㎡）,2室2厅1卫,98㎡,南,地下/共18层,豪华装修,70年,2010年,普通住宅,商品房,149.4                                万（月供14293元/月）
南苑地铁口150米 4.78米跃层精装公寓送阳台 ,http://short.58.com/zd_p/b2f8c3b1-93e8-42ce-8298-22563c4344f5/?target=eh-16-xgk_psfegvimob_88170077440152q-feykn&end=end,60                                万（单价17142                                元/㎡）,2室1厅1卫,35㎡,南,中层/共12层,豪华装修,50年,2015年,公寓,商住两用,18                                万（月供1723元/月）
新奇世界上影安吉 山湖唐韵 70年住宅 安吉影视 ,http://short.58.com/zd_p/e268fb32-dd6e-4ebc-b873-ca905e12ef57/?target=eh-16-xgk_psfegvimob_88149107882877q-feykn&end=end,120                                万（单价9230                                元/㎡）,1室1厅1卫,130㎡,南北,低层/共30层,豪华装修,70年,2016年,普通住宅,商品房,36                                万（月供3445元/月）
"绍兴高铁站旁,万达精装V公馆 ,年租金保底7个点 ",http://short.58.com/zd_p/1f173b07-1e0d-4eee-8fa1-73c0d8590805/?target=eh-16-xgk_psfegvimob_83810605106741q-feykn&end=end,35                                万（单价8333                                元/㎡）,1室1厅1卫,42㎡,东南,中层/共30层,豪华装修,70年,2015年,公寓,商品房,10.5                                万（月供1005元/月）
广德小区 北干闹市区 地铁口 银河实验 学校北干 ,http://short.58.com/zd_p/9fae86af-5447-41b8-be34-836adc01e42f/?target=eh-16-xgk_psfegvimob_88179599304231q-feykn&end=end,165                                万（单价25781                                元/㎡）,2室2厅1卫,64㎡,南,中层/共6层,豪华装修,70年,2008年,普通住宅,商品房,49.5                                万（月供4734元/月）
望江家园西园，精装全配，户型正楼层好，家具全送， ,http://short.58.com/zd_p/f279d18a-817e-4fa5-84a3-9e7274b09400/?target=eh-16-xgk_psfegvimob_88522287638280q-feykn&end=end,660                                万（单价37078                                元/㎡）,4室2厅2卫,178㎡,南,低层/共7层,豪华装修,70年,2005年,普通住宅,商品房,198                                万（月供18943元/月）
自带2万方公园，得一层送一层，双地铁口，自住精装 ,http://short.58.com/zd_p/dc12cd47-8389-4603-881c-c3b9d4964368/?target=eh-16-xgk_psfegvimob_88540456525177q-feykn&end=end,75                                万（单价17441                                元/㎡）,2室1厅1卫,43㎡,南北,中层/共15层,豪华装修,40年,2017年,公寓,商住两用,22.5                                万（月供2153元/月）
锦绣山水苑六跃七层，豪华装修，满五年，200万！ ,http://short.58.com/zd_p/cf04ebe8-96bd-4cc8-b179-3bb479e32a8b/?target=eh-16-xgk_psfegvimob_88137423923546q-feykn&end=end,200                                万（单价15267                                元/㎡）,4室2厅2卫,131㎡,南北,高层/共6层,豪华装修,70年,2008年,普通住宅,商品房,60                                万（月供5741元/月）
五口之家，不限购无税，小区体量，双层，市中心位置 ,http://short.58.com/zd_p/1546a426-b5e3-427c-81b2-e75ffcc2045e/?target=eh-16-xgk_psfegvimob_88502412882190q-feykn&end=end,200                                万（单价19417                                元/㎡）,5室3厅2卫,103㎡,南北,中层/共15层,豪华装修,40年,2017年,公寓,商住两用,60                                万（月供5741元/月）
东边套！30万精装成本！享受拎包入住！接受首付三 ,http://short.58.com/zd_p/498e1e65-6225-4c74-9796-f389ca947b62/?target=eh-16-xgk_psfegvimob_88590857308328q-feykn&end=end,270                                万（单价28421                                元/㎡）,3室2厅1卫,95㎡,南北,中层/共18层,豪华装修,70年,2002年,普通住宅,商品房,81                                万（月供7748元/月）
房东诚心出售 图片实拍 雷迪森边上豪装二房天然气 ,http://short.58.com/zd_p/667e4449-c7e4-4b85-80dc-a56b8b86fef5/?target=eh-16-xgk_psfegvimob_88520965429491q-feykn&end=end,188                                万（单价16637                                元/㎡）,2室2厅2卫,113㎡,南北,中层/共30层,豪华装修,70年,2006年,普通住宅,商品房,56.4                                万（月供5394元/月）
西湖旁 西溪湿地边 双地铁口 自带50万方广场  ,http://short.58.com/zd_p/5eac6c52-84a3-4111-84ca-381a45008e2a/?target=eh-16-xgk_psfegvimob_88144483962223q-feykn&end=end,112                                万（单价24888                                元/㎡）,2室1厅1卫,45㎡,南北,中层/共16层,豪华装修,70年,2000年,普通住宅,商品房,33.6                                万（月供3215元/月）
中式公寓见过没 电话来看 80万低总价精装公寓  ,http://short.58.com/zd_p/01c4b834-de29-4121-bbb5-b5e03fb02089/?target=eh-16-xgk_psfegvimob_88133118375951q-feykn&end=end,95                                万（单价15573                                元/㎡）,2室1厅1卫,61㎡,南,低层/共6层,豪华装修,40年,2018年,公寓,商品房,28.5                                万（月供2727元/月）
文一街 精装30万 2号线480米 龙湖天街在望 ,http://short.58.com/zd_p/ea26d45b-baf8-42b9-a810-1399e7b3ff68/?target=eh-16-xgk_psfegvimob_88138943246616q-feykn&end=end,260                                万（单价29213                                元/㎡）,2室2厅1卫,89㎡,南,中层/共11层,豪华装修,70年,2006年,普通住宅,商品房,78                                万（月供7463元/月）
火车南站《星南站》首开，LOFT精装公寓，萧山南 ,http://short.58.com/zd_p/5e282190-2986-41c7-b2cc-070e3d36f864/?target=eh-16-xgk_psfegvimob_88176409081326q-feykn&end=end,80                                万（单价17777                                元/㎡）,2室2厅1卫,45㎡,南北,高层/共21层,豪华装修,40年,2017年,公寓,商住两用,24                                万（月供2297元/月）
三房全明户型，装修好从来没住过人的，房东急出手！ ,http://short.58.com/zd_p/737d1e91-f471-4285-8206-ce583e9891cc/?target=eh-16-xgk_psfegvimob_88146272468725q-feykn&end=end,260                                万（单价29213                                元/㎡）,3室2厅1卫,89㎡,南,中层/共16层,豪华装修,70年,2010年,普通住宅,商品房,78                                万（月供7463元/月）
"现代肖邦精装修，拎包入住,7小，富春双优 ",http://short.58.com/zd_p/0bec19d2-f276-4201-b23a-36ec52988012/?target=eh-16-xgk_psfegvimob_88508909960709q-feykn&end=end,285                                万（单价21268                                元/㎡）,3室2厅2卫,134㎡,南北,中层/共16层,豪华装修,70年,2010年,普通住宅,商品房,85.5                                万（月供8178元/月）
城西高端桂花城 正气户型 楼层好 30万精装修家 ,http://short.58.com/zd_p/78d4240d-cfb9-48c3-9890-7f7d8eff1bb6/?target=eh-16-xgk_psfegvimob_88526464090368q-feykn&end=end,720                                万（单价51798                                元/㎡）,3室2厅2卫,139㎡,南北,共5层,豪华装修,70年,2002年,普通住宅,商品房,216                                万（月供20665元/月）
玲珑花园叠排，豪装，大露台，290方售价490万 ,http://short.58.com/zd_p/93a527ff-ce2c-43cf-86a7-833a428766d7/?target=eh-16-xgk_psfegvimob_88500783144327q-feykn&end=end,490                                万（单价16896                                元/㎡）,5室3厅4卫,290㎡,南北,共5层,豪华装修,70年,2004年,排屋,商品房,147                                万（月供14062元/月）
康城一品高端大气的房屋 惠的价格让您想有最温馨的 ,http://short.58.com/zd_p/e43b33b6-8fd6-421d-9019-d2d1e12bbf6b/?target=eh-16-xgk_psfegvimob_88138519227845q-feykn&end=end,410                                万（单价29496                                元/㎡）,3室2厅2卫,139㎡,南北,低层/共16层,豪华装修,70年,2015年,其他,商品房,123                                万（月供11766元/月）
萧山火车南站旁 4.5米层高精装LOFT 不限购 ,http://short.58.com/zd_p/c2cef0c5-250e-4ec5-8f34-fed084b797db/?target=eh-16-xgk_psfegvimob_88137287721881q-feykn&end=end,79                                万（单价19750                                元/㎡）,2室2厅1卫,40㎡,南,中层/共15层,豪华装修,50年,2018年,公寓,商品房,23.7                                万（月供2266元/月）
萧山火车南站旁 4.5米层高豪华精装修LOFT  ,http://short.58.com/zd_p/841c7e9c-00d7-46c0-a296-074e34a5514f/?target=eh-16-xgk_psfegvimob_88133494000791q-feykn&end=end,82                                万（单价20500                                元/㎡）,2室2厅1卫,40㎡,南,中层/共16层,豪华装修,50年,2017年,公寓,商品房,24.6                                万（月供2352元/月）
诸暨袜都财富中心，精装现房软装家具家电全送，途家 ,http://short.58.com/zd_p/058c156e-1848-494f-89b0-13a3ea900cac/?target=eh-16-xgk_psfegvimob_88142910847197q-feykn&end=end,42                                万（单价9333                                元/㎡）,1室1厅1卫,45㎡,南北,中层/共22层,豪华装修,50年,2016年,公寓,商住两用,12.6                                万（月供1204元/月）
地铁口150米 4.78米跃层公馆 精装小两房  ,http://short.58.com/zd_p/d8f04967-b714-46d9-ba5e-d1cd70caf8cc/?target=eh-16-xgk_psfegvimob_88521022269697q-feykn&end=end,60                                万（单价18750                                元/㎡）,2室1厅1卫,32㎡,南,中层/共12层,豪华装修,50年,2010年,公寓,商住两用,18                                万（月供1723元/月）
萧山开发区大成名座 建设三路地铁站 豪华装修 ,http://short.58.com/zd_p/4dec403c-b73a-4f16-8e1d-40aa397994db/?target=eh-16-xgk_psfegvimob_88526903776494q-feykn&end=end,190                                万（单价16710                                元/㎡）,2室2厅1卫,113.7㎡,南,中层/共27层,豪华装修,50年,2008年,普通住宅,商住两用,57                                万（月供5452元/月）
万科新都会 杭海轻轨口800米 精装交付 配套齐 ,http://short.58.com/zd_p/2a3c75e4-33da-4e74-a9fb-415734764a72/?target=eh-16-xgk_psfegvimob_88590758318876q-feykn&end=end,119                                万（单价13370                                元/㎡）,3室2厅2卫,89㎡,南北,高层/共33层,豪华装修,70年,2018年,普通住宅,商品房,35.7                                万（月供3414元/月）
地铁、高铁、轻轨三房合一 精装跃层公寓 送阳台  ,http://short.58.com/zd_p/c78d67b3-7ffc-48ae-a10d-7ebb98ae4359/?target=eh-16-xgk_psfegvimob_88170963732694q-feykn&end=end,60                                万（单价17142                                元/㎡）,2室1厅1卫,35㎡,南,中层/共12层,豪华装修,50年,2010年,公寓,商住两用,18                                万（月供1723元/月）
红街新出欧式装修大三房，已看好新房急售，送车位！ ,http://short.58.com/zd_p/ace85e31-7af8-46cd-a259-83c58dd619b7/?target=eh-16-xgk_psfegvimob_88147684024490q-feykn&end=end,302                                万（单价33555                                元/㎡）,3室2厅1卫,90㎡,南,高层/共11层,豪华装修,70年,2010年,普通住宅,商品房,90.6                                万（月供8666元/月）
火车南站《星南站》首开，LOFT精装公寓，萧山南 ,http://short.58.com/zd_p/f2b5af34-bee7-4fa2-9b28-e859617918dd/?target=eh-16-xgk_psfegvimob_88142980775285q-feykn&end=end,80                                万（单价17582                                元/㎡）,2室2厅1卫,45.5㎡,南北,高层/共21层,豪华装修,40年,2017年,公寓,商住两用,24                                万（月供2297元/月）
华策中心龙湖天街西溪银泰旁，4.2米精装LOFT ,http://short.58.com/zd_p/e9a92901-244f-4431-9657-6a25311e7c63/?target=eh-16-xgk_psfegvimob_88529113449269q-feykn&end=end,148                                万（单价29019                                元/㎡）,2室1厅1卫,51㎡,南,中层/共13层,豪华装修,40年,2017年,公寓,商住两用,44.4                                万（月供4246元/月）
萧山奥体中心旁 4.2米层高精装LOFT 7号线 ,http://short.58.com/zd_p/4b391523-387d-46f3-8882-d27101e85d31/?target=eh-16-xgk_psfegvimob_88133732675374q-feykn&end=end,83                                万（单价18444                                元/㎡）,2室2厅1卫,45㎡,南,高层/共15层,豪华装修,50年,2017年,公寓,商品房,24.9                                万（月供2383元/月）
千岛湖别墅-阔景大湖零距离，豪装、豪配拎包住.价 ,http://short.58.com/zd_p/55958c1e-7844-4ad9-9a50-f599b41b1055/?target=eh-16-xgk_psfegvimob_87868485334888q-feykn&end=end,1200                                万（单价36363                                元/㎡）,7室2厅6卫,330㎡,东,共3层,豪华装修,70年,2012年,别墅,商品房,360                                万（月供34441元/月）
晨曦小学 四中 房 三室两厅 户型方正 全新装修 ,http://short.58.com/zd_p/b9e1bd96-0241-4ca6-aa35-7c85336d8fad/?target=eh-16-xgk_psfegvimob_88557396076825q-feykn&end=end,205                                万（单价18981                                元/㎡）,3室2厅2卫,108㎡,南,中层/共33层,豪华装修,70年,2016年,普通住宅,商品房,61.5                                万（月供5882元/月）
文二新村，南北两房，厨卫全明，采光无遮挡，楼层好 ,http://hz.58.com/ershoufang/33511246137529x.shtml,300                                万（单价60000                                元/㎡）,2室1厅1卫,50㎡,南北,中层/共6层,豪华装修,70年,1991年,普通住宅,商品房,90                                万（月供8611元/月）
全明东边套，送10万精装修，房东2胎换房，降价1 ,http://hz.58.com/ershoufang/33519355449535x.shtml,120                                万（单价25000                                元/㎡）,1室1厅1卫,48㎡,南,中层/共6层,豪华装修,70年,1996年,普通住宅,商品房,36                                万（月供3445元/月）
2011年精装！地暖空调全大理石！两房朝南两房朝 ,http://hz.58.com/ershoufang/33517704132657x.shtml,730                                万（单价38829                                元/㎡）,5室3厅2卫,188㎡,南北,高层/共16层,豪华装修,70年,2003年,普通住宅,商品房,219                                万（月供20950元/月）
一号线西兴站300米，架空层，东边套，低总价，业 ,http://hz.58.com/ershoufang/33522264783924x.shtml,160                                万（单价31372                                元/㎡）,1室1厅1卫,51㎡,南,中层/共6层,豪华装修,70年,2006年,普通住宅,商品房,48                                万（月供4593元/月）
塘河北村 精装三房 户型正 诚心卖 采光无遮挡 ,http://hz.58.com/ershoufang/33521240564158x.shtml,260                                万（单价29246                                元/㎡）,3室2厅1卫,88.9㎡,南,中层/共7层,豪华装修,70年,1997年,普通住宅,商品房,78                                万（月供7463元/月）
东方君悦 一线江景精装现房市民中心地铁旁清盘8折 ,http://hz.58.com/ershoufang/33521155816493x.shtml,230                                万（单价25555                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共44层,豪华装修,70年,2013年,普通住宅,商品房,69                                万（月供6600元/月）
紧邻西溪湿地 豪装|+送软装 户户景观阳台 带花 ,http://hz.58.com/ershoufang/33511228562507x.shtml,228                                万（单价49565                                元/㎡）,1室1厅1卫,46㎡,南,低层/共6层,豪华装修,70年,2017年,普通住宅,商品房,68.4                                万（月供6542元/月）
龙湖天街旁，上学6米，2号线538米，豪装60万 ,http://hz.58.com/ershoufang/33521917938996x.shtml,330                                万（单价27500                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共22层,豪华装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）
精装50万 门口双D铁口，楼层好，东边套正气三房 ,http://hz.58.com/ershoufang/33500494723505x.shtml,320                                万（单价35955                                元/㎡）,3室2厅1卫,89㎡,南,高层/共25层,豪华装修,70年,2015年,普通住宅,商品房,96                                万（月供9185元/月）
朝晖三区新出 急降15万！南北通透！送20万婚房 ,http://hz.58.com/ershoufang/33517686304427x.shtml,170                                万（单价28333                                元/㎡）,2室2厅1卫,60㎡,南北,中层/共7层,豪华装修,70年,1989年,普通住宅,商品房,51                                万（月供4878元/月）
"次新房，从未出租，房东30万精装,直接拎包入住  ",http://hz.58.com/ershoufang/33516977005761x.shtml,256                                万（单价30117                                元/㎡）,2室2厅1卫,85㎡,南,中层/共7层,豪华装修,70年,2003年,普通住宅,商品房,76.8                                万（月供7346元/月）
杭州钱江新城CBD板块性建筑，彰显您身份与地位的 ,http://hz.58.com/ershoufang/33508778327884x.shtml,226                                万（单价35312                                元/㎡）,1室2厅1卫,64㎡,南,低层/共33层,豪华装修,70年,2017年,公寓,商品房,67.8                                万（月供6487元/月）
文一街 精装30万 2号线480米 龙湖天街在望 ,http://hz.58.com/ershoufang/33523602864953x.shtml,260                                万（单价29213                                元/㎡）,2室2厅1卫,89㎡,南,中层/共11层,豪华装修,70年,2006年,普通住宅,商品房,78                                万（月供7463元/月）
都市水乡水秀苑 精装三房 南北通透 楼层好采光佳 ,http://hz.58.com/ershoufang/33523715097545x.shtml,262                                万（单价31566                                元/㎡）,3室2厅1卫,83㎡,南北,中层/共11层,豪华装修,70年,2006年,普通住宅,商品房,78.6                                万（月供7518元/月）
湖畔花园：边套大四房+70万豪装+花园位置+诚心 ,http://hz.58.com/ershoufang/33520410076347x.shtml,600                                万（单价40000                                元/㎡）,4室2厅2卫,150㎡,南北,中层/共15层,豪华装修,70年,1998年,普通住宅,商品房,180                                万（月供17221元/月）
杭州未来科技城板块核心，总价45万起，双地铁口杭 ,http://hz.58.com/ershoufang/33410834907984x.shtml,45                                万（单价12162                                元/㎡）,1室1厅1卫,37㎡,南北,中层/共16层,豪华装修,40年,2016年,公寓,商住两用,13.5                                万（月供1290元/月）
（主卖）水秀苑 文一街学 区！精装三房西边套！前 ,http://hz.58.com/ershoufang/33505850287184x.shtml,252                                万（单价26250                                元/㎡）,3室2厅2卫,96㎡,南北,中层/共33层,豪华装修,70年,2006年,普通住宅,商品房,75.6                                万（月供7233元/月）
