标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
邻近地铁5号线，广德小区，银河小学，架空层上一楼 ,http://hz.58.com/ershoufang/33519856438962x.shtml,240                                万（单价26966                                元/㎡）,3室1厅1卫,89㎡,南,低层/共6层,中等装修,70年,2002年,普通住宅,其他,72                                万（月供6889元/月）,,,
望江新一园新出三开间朝南全明户型 没有双税房东诚 ,http://hz.58.com/ershoufang/33489460714307x.shtml,400                                万（单价45977                                元/㎡）,2室2厅1卫,87㎡,南,低层/共21层,中等装修,70年,2007年,普通住宅,商品房,120                                万（月供11481元/月）,,,
保利东湾标准两房 中间楼层 225万拎包入住 配 ,http://hz.58.com/ershoufang/33488192412079x.shtml,225                                万（单价29220                                元/㎡）,2室2厅1卫,77㎡,南,高层/共33层,中等装修,70年,2010年,普通住宅,商品房,67.5                                万（月供6456元/月）,,,
"世茂江滨花园碧景湾,出门就是铁口,精装大三房一线 ",http://hz.58.com/ershoufang/33466901904453x.shtml,330                                万（单价27272                                元/㎡）,3室2厅2卫,121㎡,南北,中层/共33层,中等装修,70年,2016年,普通住宅,商品房,99                                万（月供9470元/月）,,,
轻轨旁，小三房出售， ,http://hz.58.com/ershoufang/33377642514764x.shtml,155                                万（单价18674                                元/㎡）,3室2厅1卫,83㎡,南北,中层/共10层,中等装修,70年,2015年,普通住宅,商品房,46.5                                万（月供4449元/月）,,,
边套 房东诚心出售 房子户型很好采光很好 星桥镇 ,http://hz.58.com/ershoufang/33500481892924x.shtml,270                                万（单价20000                                元/㎡）,3室2厅1卫,135㎡,南北,低层/共18层,中等装修,70年,2010年,普通住宅,其他,81                                万（月供7748元/月）,,,
地势好 阳光好 全明户型 小区环境好 实际面积大 ,http://hz.58.com/ershoufang/33489034101961x.shtml,145                                万（单价24576                                元/㎡）,2室1厅1卫,59㎡,南,中层/共6层,中等装修,70年,2016年,普通住宅,其他,43.5                                万（月供4160元/月）,,,
重点 ，房主急售2室1厅龙湖滟澜山铭轩 ,http://hz.58.com/ershoufang/33495772909874x.shtml,365                                万（单价42941                                元/㎡）,2室2厅1卫,85㎡,南北,中层/共28层,中等装修,70年,2012年,普通住宅,其他,109.5                                万（月供10474元/月）,,,
北银公寓1室1厅108万元隆重出售！ ,http://hz.58.com/ershoufang/33485247133243x.shtml,108                                万（单价27692                                元/㎡）,1室1厅1卫,39㎡,南北,中层/共7层,中等装修,70年,2005年,普通住宅,其他,32.4                                万（月供3098元/月）,,,
如果要观望，我建议你看完这个房子后再观望，一定不 ,http://hz.58.com/ershoufang/33378459271729x.shtml,205                                万（单价25000                                元/㎡）,2室2厅1卫,82㎡,南北,中层/共6层,中等装修,70年,2005年,普通住宅,其他,61.5                                万（月供5882元/月）,,,
桃源新居，宋都香悦郡，拱墅半山桃园板块，靠近北景 ,http://hz.58.com/ershoufang/33462818500662x.shtml,180                                万（单价31578                                元/㎡）,1室2厅1卫,57㎡,南,低层/共26层,中等装修,70年,2012年,普通住宅,商品房,54                                万（月供5167元/月）,,,
西河路 中等装修拎包入住，看房方便的，房子的得房 ,http://hz.58.com/ershoufang/33495311174844x.shtml,143                                万（单价25087                                元/㎡）,2室1厅1卫,57㎡,南北,高层/共6层,中等装修,70年,1989年,普通住宅,商品房,42.9                                万（月供4105元/月）,,,
万达广场 香槟之约 送大阳台 民用水电 ,http://hz.58.com/ershoufang/32503144709558x.shtml,58                                万（单价15675                                元/㎡）,1室0厅0卫,37㎡,南,中层/共18层,中等装修,40年,,公寓,商品房,17.4                                万（月供1665元/月）,,,
长青风帆，主卧朝南，南北通透，大三房，位置好。 ,http://hz.58.com/ershoufang/33243830245056x.shtml,248                                万（单价24077                                元/㎡）,3室2厅1卫,103㎡,南,中层/共7层,中等装修,70年,2000年,普通住宅,商品房,74.4                                万（月供7116元/月）,,,
新上清雅苑大三房，南北通透，户型正气，精装拎包入 ,http://hz.58.com/ershoufang/33297052099017x.shtml,205                                万（单价17982                                元/㎡）,3室2厅2卫,114㎡,南北,中层/共6层,中等装修,70年,2008年,普通住宅,商品房,61.5                                万（月供5882元/月）,,,
绿都四季华庭，纯毛坯，380万，不要再错过了 ,http://hz.58.com/ershoufang/33464748276666x.shtml,380                                万（单价22619                                元/㎡）,4室2厅2卫,168㎡,南,高层/共30层,中等装修,70年,2014年,普通住宅,商品房,114                                万（月供10907元/月）,,,
可以看到金沙湖 新出房源泰美国际 LOFT 中间 ,http://hz.58.com/ershoufang/33478887991994x.shtml,135                                万（单价28125                                元/㎡）,1室1厅0卫,48㎡,南,中层/共22层,中等装修,40年,2014年,普通住宅,商住两用,40.5                                万（月供3875元/月）,,,
文泽路地铁文海读书 电梯房精装三房 户型正气 中 ,http://hz.58.com/ershoufang/33240667191485x.shtml,210                                万（单价18584                                元/㎡）,3室2厅1卫,113㎡,南北,中层/共6层,中等装修,70年,2008年,普通住宅,商品房,63                                万（月供6026元/月）,,,
临平树兰书香名邸 优质房源140万元公寓(小区房 ,http://hz.58.com/ershoufang/33498751320117x.shtml,140                                万（单价15384                                元/㎡）,3室2厅1卫,91㎡,南北,低层/共32层,中等装修,70年,2010年,普通住宅,其他,42                                万（月供4019元/月）,,,
文三新村全明格局 业主换房诚心出售 装修清爽不占 ,http://hz.58.com/ershoufang/33486894995906x.shtml,390                                万（单价61904                                元/㎡）,2室1厅1卫,63㎡,南,高层/共6层,中等装修,70年,1990年,普通住宅,公房,117                                万（月供11192元/月）,,,
新出房源 金域兰庭 三房两卫 30万精装 可直接 ,http://hz.58.com/ershoufang/33495176488625x.shtml,200                                万（单价22471                                元/㎡）,3室2厅2卫,89㎡,南北,中层/共18层,中等装修,70年,2013年,普通住宅,商品房,60                                万（月供5741元/月）,,,
交通便利！占据重要的位置！星雅嘉园3房急售 ,http://hz.58.com/ershoufang/33396387580214x.shtml,200                                万（单价16949                                元/㎡）,3室2厅2卫,118㎡,南北,中层/共16层,中等装修,70年,2008年,普通住宅,其他,60                                万（月供5741元/月）,,,
高教新村 房东上门挂牌 星洲小学 不占学籍 两房 ,http://hz.58.com/ershoufang/32802070943559x.shtml,375                                万（单价50000                                元/㎡）,3室2厅1卫,75㎡,南北,高层/共7层,中等装修,70年,1998年,普通住宅,其他,112.5                                万（月供10763元/月）,,,
诚心出售 120万买个家 养老 ，总价低带一储藏 ,http://hz.58.com/ershoufang/33521396909899x.shtml,120                                万（单价19354                                元/㎡）,2室2厅1卫,62㎡,南北,共5层,中等装修,70年,1994年,普通住宅,其他,36                                万（月供3445元/月）,,,
文源广场，汇宇小学，高桥初中，精装修大三房，可读 ,http://hz.58.com/ershoufang/33519796670139x.shtml,233                                万（单价18943                                元/㎡）,3室2厅2卫,123㎡,南,低层/共6层,中等装修,70年,2004年,普通住宅,其他,69.9                                万（月供6686元/月）,,,
颐和花园，精装修 高桥初中 房东急卖 南北通透  ,http://hz.58.com/ershoufang/33519791252939x.shtml,320                                万（单价23272                                元/㎡）,3室2厅2卫,137.5㎡,南,中层/共6层,中等装修,70年,2004年,普通住宅,其他,96                                万（月供9185元/月）,,,
一线江景郡亭公寓 中间楼层东边套 全明单价低 ,http://hz.58.com/ershoufang/33489468976044x.shtml,460                                万（单价29299                                元/㎡）,3室2厅2卫,157㎡,南北,中层/共29层,中等装修,50年,2007年,公寓,商住两用,138                                万（月供13203元/月）,,,
地铁口房子 3房两卫 一小一中 房 ,http://hz.58.com/ershoufang/33516998322764x.shtml,240                                万（单价18836                                元/㎡）,3室2厅2卫,127.41㎡,南北,中层/共6层,中等装修,70年,1995年,普通住宅,其他,72                                万（月供6889元/月）,,,
边套 房东诚心出售 房子户型很好采光很好 星桥镇 ,http://hz.58.com/ershoufang/33489365017552x.shtml,220                                万（单价18803                                元/㎡）,3室2厅1卫,117㎡,南北,高层/共18层,中等装修,70年,2010年,普通住宅,其他,66                                万（月供6315元/月）,,,
86方2房 20万精装 文一西路沿线 对面大禹小 ,http://hz.58.com/ershoufang/33395720826683x.shtml,220                                万（单价24719                                元/㎡）,2室2厅1卫,89㎡,南北,中层/共6层,中等装修,70年,2004年,普通住宅,其他,66                                万（月供6315元/月）,,,
清爽装修，拎包入住，景观位置，视野超好，只此一套 ,http://hz.58.com/ershoufang/33429380308394x.shtml,206                                万（单价24819                                元/㎡）,2室2厅1卫,83㎡,南北,中层/共6层,中等装修,70年,2011年,普通住宅,商品房,61.8                                万（月供5913元/月）,,,
大华品牌房企得房率高户型方正精致四房欢迎来电 ,http://hz.58.com/ershoufang/33352861671617x.shtml,200                                万（单价22471                                元/㎡）,4室2厅2卫,89㎡,南北,中层/共17层,中等装修,70年,2010年,普通住宅,商品房,60                                万（月供5741元/月）,,,
红丰苑 大三房 精装全配 看房方便 拎包入住 ,http://hz.58.com/ershoufang/33431804177965x.shtml,220                                万（单价17600                                元/㎡）,3室2厅1卫,125㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,商品房,66                                万（月供6315元/月）,,,
楼层好，视野广，学位房出售，钱塘梧桐蓝山 ,http://hz.58.com/ershoufang/33522884537781x.shtml,220                                万（单价24719                                元/㎡）,3室2厅2卫,89㎡,南北,高层/共30层,中等装修,70年,2017年,普通住宅,其他,66                                万（月供6315元/月）,,,
康庭和苑南北通透精致两房户型，看房方便，价格划算 ,http://hz.58.com/ershoufang/33521315363917x.shtml,110                                万（单价12941                                元/㎡）,2室2厅2卫,85㎡,南北,中层/共18层,中等装修,70年,2015年,普通住宅,其他,33                                万（月供3156元/月）,,,
馨星大厦，育才、回澜，东边套朝南，03年电梯房， ,http://hz.58.com/ershoufang/33520004342855x.shtml,109                                万（单价26993                                元/㎡）,1室1厅1卫,40.38㎡,南,低层/共22层,中等装修,70年,2005年,普通住宅,其他,32.7                                万（月供3129元/月）,,,
下城朝晖流水西苑满五唯一 3室1厅1卫 ,http://hz.58.com/ershoufang/33523637648963x.shtml,280                                万（单价43017                                元/㎡）,3室1厅1卫,65.09㎡,南,中层/共7层,中等装修,70年,1998年,普通住宅,商品房,84                                万（月供8037元/月）,,,
旺角城对面，地铁口，双金山学校，诚心出售，全明户 ,http://hz.58.com/ershoufang/33519845649225x.shtml,380                                万（单价29841                                元/㎡）,3室2厅2卫,127.34㎡,南,中层/共6层,中等装修,70年,2003年,普通住宅,其他,114                                万（月供10907元/月）,,,
汇宇花园，全明户型，底层，房东自住精装 户型好使 ,http://hz.58.com/ershoufang/33519807749328x.shtml,400                                万（单价25706                                元/㎡）,3室2厅2卫,155.6㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,其他,120                                万（月供11481元/月）,,,
近江二园天地实验 西边套南北通全明 三房精装修  ,http://hz.58.com/ershoufang/33489468810689x.shtml,440                                万（单价45833                                元/㎡）,3室2厅1卫,96㎡,南北,中层/共11层,中等装修,70年,2007年,普通住宅,商品房,132                                万（月供12629元/月）,,,
户型2室1厅望江家园西园 天地实验  好楼层 ,http://hz.58.com/ershoufang/33499851229128x.shtml,243                                万（单价51374                                元/㎡）,2室1厅1卫,47.3㎡,南北,低层/共7层,中等装修,70年,2006年,普通住宅,其他,72.9                                万（月供6975元/月）,,,
全明东边套南北高性价比景观入户露台，阳光清风随时 ,http://hz.58.com/ershoufang/33489061100977x.shtml,189                                万（单价25200                                元/㎡）,3室1厅1卫,75㎡,南,中层/共6层,中等装修,70年,2006年,普通住宅,其他,56.7                                万（月供5425元/月）,,,
实地视屏和照片，边套采光好，楼层好 ,http://hz.58.com/ershoufang/33495328189235x.shtml,240                                万（单价17910                                元/㎡）,3室2厅2卫,134㎡,南北,低层/共19层,中等装修,70年,2004年,普通住宅,其他,72                                万（月供6889元/月）,,,
楼层好，视野广，学位房出售，钱塘梧桐蓝山 ,http://hz.58.com/ershoufang/33521295621454x.shtml,220                                万（单价24719                                元/㎡）,2室2厅2卫,89㎡,南北,高层/共30层,中等装修,70年,2017年,普通住宅,其他,66                                万（月供6315元/月）,,,
女人的脸比变天还快 好房子的房东是一直诚心出售的 ,http://hz.58.com/ershoufang/33489331519788x.shtml,478                                万（单价39833                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共6层,中等装修,70年,2006年,普通住宅,商品房,143.4                                万（月供13719元/月）,,,
晶城旁 新出精装南北两房 看房随时 ,http://hz.58.com/ershoufang/33263208508617x.shtml,155                                万（单价27678                                元/㎡）,2室1厅1卫,56㎡,南北,高层/共6层,中等装修,70年,1995年,普通住宅,商品房,46.5                                万（月供4449元/月）,,,
北干一苑，3房1厅，好楼层，采光好，D铁口500 ,http://hz.58.com/ershoufang/33495199530820x.shtml,213                                万（单价28026                                元/㎡）,3室1厅1卫,76㎡,南北,高层/共6层,中等装修,70年,1996年,普通住宅,商品房,63.9                                万（月供6112元/月）,,,
"庆春路,建国路,浙一浙二附近,清爽2房,2楼,户 ",http://hz.58.com/ershoufang/33433975398734x.shtml,190                                万（单价32758                                元/㎡）,2室1厅1卫,58㎡,南北,低层/共7层,中等装修,70年,1989年,普通住宅,商品房,57                                万（月供5452元/月）,,,
婚房装修，拎包入住，边套户型采光好，经典三房！赶 ,http://hz.58.com/ershoufang/33454334927158x.shtml,235                                万（单价26704                                元/㎡）,3室2厅1卫,88㎡,南北,高层/共18层,中等装修,70年,2011年,普通住宅,商品房,70.5                                万（月供6745元/月）,,,
无营业税 自住精装 一梯两户采光好 精装便宜 房 ,http://hz.58.com/ershoufang/33467689561294x.shtml,165                                万（单价29464                                元/㎡）,2室1厅1卫,56㎡,南北,高层/共6层,中等装修,70年,1997年,普通住宅,商品房,49.5                                万（月供4734元/月）,,,
东门公寓，回澜初中，装修清爽，周边配套成熟，诚心 ,http://hz.58.com/ershoufang/33519927192891x.shtml,320                                万（单价22695                                元/㎡）,3室2厅2卫,141㎡,南,中层/共6层,中等装修,70年,2003年,普通住宅,其他,96                                万（月供9185元/月）,,,
西仓弄，江寺公园边上，3房2厅，回澜初中，有自行 ,http://hz.58.com/ershoufang/33519813172811x.shtml,230                                万（单价22330                                元/㎡）,3室2厅1卫,103㎡,南,中层/共6层,中等装修,70年,1995年,普通住宅,其他,69                                万（月供6600元/月）,,,
好房出售，西山公寓，低楼层，全明户型，诚心出售， ,http://hz.58.com/ershoufang/33519750356805x.shtml,185                                万（单价22839                                元/㎡）,2室2厅1卫,81㎡,南,低层/共6层,中等装修,70年,1998年,普通住宅,其他,55.5                                万（月供5308元/月）,,,
泰和花园，双高学校，地铁口，经典边套户型，精装修 ,http://hz.58.com/ershoufang/33519744941891x.shtml,420                                万（单价30456                                元/㎡）,3室2厅2卫,137.9㎡,南,中层/共6层,中等装修,70年,2000年,普通住宅,其他,126                                万（月供12055元/月）,,,
天都城地铁观景房，紫韵西边套户型带车位，别错过啦 ,http://hz.58.com/ershoufang/33517275533098x.shtml,260                                万（单价20967                                元/㎡）,3室2厅2卫,124㎡,南北,中层/共23层,中等装修,70年,2015年,普通住宅,其他,78                                万（月供7463元/月）,,,
奥体旁 明怡花苑 中等装修 房东诚心置换 诚可议 ,http://hz.58.com/ershoufang/33315792376908x.shtml,314                                万（单价31089                                元/㎡）,3室2厅1卫,101㎡,南北,低层/共6层,中等装修,70年,2008年,普通住宅,商品房,94.2                                万（月供9010元/月）,,,
经典大四方使用面积160，客厅送七八平米阳台，  ,http://hz.58.com/ershoufang/33467323325884x.shtml,320                                万（单价23188                                元/㎡）,4室2厅2卫,138㎡,南,低层/共32层,中等装修,70年,2011年,普通住宅,商品房,96                                万（月供9185元/月）,,,
滨江优质房源，江南实验学校地铁旁，楼层采光杠杠， ,http://hz.58.com/ershoufang/33329603515580x.shtml,375                                万（单价24038                                元/㎡）,4室2厅2卫,156㎡,南北,高层/共6层,中等装修,70年,2008年,普通住宅,商品房,112.5                                万（月供10763元/月）,,,
城铁沿线48平248万元业主急售！ ,http://hz.58.com/ershoufang/32809552211893x.shtml,248                                万（单价51666                                元/㎡）,2室1厅1卫,48㎡,南北,中层/共7层,中等装修,70年,1989年,普通住宅,商品房,74.4                                万（月供7116元/月）,,,
劲松小学、洄澜初中學区房、4楼、房东换房急售、诚 ,http://hz.58.com/ershoufang/33519998873540x.shtml,156                                万（单价27368                                元/㎡）,2室1厅1卫,57㎡,南,高层/共6层,中等装修,70年,1994年,普通住宅,其他,46.8                                万（月供4476元/月）,,,
通达小区，双回澜学校，2楼，满2年，中装，小区位 ,http://hz.58.com/ershoufang/33519759143630x.shtml,170                                万（单价25373                                元/㎡）,2室1厅1卫,67㎡,南,低层/共6层,中等装修,70年,1993年,普通住宅,其他,51                                万（月供4878元/月）,,,
近江苑新出好房 两房朝南 厨房朝北 南北通 总价 ,http://hz.58.com/ershoufang/33489456546486x.shtml,260                                万（单价53061                                元/㎡）,2室1厅1卫,49㎡,南北,中层/共7层,中等装修,70年,1995年,普通住宅,商品房,78                                万（月供7463元/月）,,,
房龄新，装修好的，户型好的额，学籍不占用，户口可 ,http://hz.58.com/ershoufang/33451263231552x.shtml,395                                万（单价45533                                元/㎡）,3室1厅1卫,86.75㎡,南北,中层/共7层,中等装修,70年,1998年,普通住宅,其他,118.5                                万（月供11337元/月）,,,
东方丽都花苑 东站旁边  房 性价比高 随时看房 ,http://hz.58.com/ershoufang/33517144794422x.shtml,328                                万（单价36853                                元/㎡）,2室2厅1卫,89㎡,南,中层/共18层,中等装修,70年,2010年,普通住宅,其他,98.4                                万（月供9412元/月）,,,
近江家园 260万2房 拎包入住 适合 落户 ,http://hz.58.com/ershoufang/33355972899502x.shtml,260                                万（单价53366                                元/㎡）,2室0厅1卫,48.72㎡,南北,高层/共7层,中等装修,70年,2003年,普通住宅,其他,78                                万（月供7463元/月）,,,
月光苑 配套成熟 户型方正 次新电梯房 拎包入住 ,http://hz.58.com/ershoufang/33432101190733x.shtml,160                                万（单价13333                                元/㎡）,3室2厅2卫,120㎡,南北,中层/共8层,中等装修,70年,2002年,普通住宅,商品房,48                                万（月供4593元/月）,,,
天河西苑 单价3.6万 两房可改三房 自住可直接 ,http://hz.58.com/ershoufang/33507978054480x.shtml,260                                万（单价36111                                元/㎡）,2室2厅1卫,72㎡,南北,中层/共7层,中等装修,70年,1998年,普通住宅,其他,78                                万（月供7463元/月）,,,
近地铁 上海福山双语小学！全明户型客厅带阳台！房 ,http://hz.58.com/ershoufang/33500043028409x.shtml,238                                万（单价26444                                元/㎡）,3室1厅1卫,90㎡,南,中层/共26层,中等装修,70年,2015年,普通住宅,其他,71.4                                万（月供6831元/月）,,,
物华新上跃层，一小文华，15方露台，单价3万，实 ,http://hz.58.com/ershoufang/33386138597308x.shtml,435                                万（单价29911                                元/㎡）,5室2厅2卫,145.43㎡,南,高层/共6层,中等装修,70年,1998年,普通住宅,其他,130.5                                万（月供12485元/月）,,,
285万中等装修，诚心出售，大俩房，全朝南，无税 ,http://hz.58.com/ershoufang/33322607729212x.shtml,285                                万（单价32758                                元/㎡）,2室2厅1卫,87㎡,南,高层/共18层,中等装修,70年,2011年,普通住宅,其他,85.5                                万（月供8178元/月）,,,
户型正气 两房朝南 客厅可放沙发 精装修 看房方 ,http://hz.58.com/ershoufang/33251967758283x.shtml,206                                万（单价34915                                元/㎡）,2室1厅1卫,59㎡,南北,中层/共6层,中等装修,70年,1990年,普通住宅,其他,61.8                                万（月供5913元/月）,,,
星雅嘉园精致三房户型，256万好楼层好位置好价位 ,http://hz.58.com/ershoufang/33521342436160x.shtml,200                                万（单价16949                                元/㎡）,3室2厅1卫,118㎡,南北,中层/共18层,中等装修,70年,2008年,普通住宅,其他,60                                万（月供5741元/月）,,,
双高桥学校，广和公寓，全明户型，有自行车库，诚心 ,http://hz.58.com/ershoufang/33519764556462x.shtml,138                                万（单价28750                                元/㎡）,1室1厅1卫,48㎡,南,低层/共6层,中等装修,70年,2005年,普通住宅,其他,41.4                                万（月供3961元/月）,,,
店长 ！田园河畔居225万元！千年等一回！ 全明 ,http://hz.58.com/ershoufang/33422271174062x.shtml,225                                万（单价30000                                元/㎡）,3室1厅1卫,75㎡,南,低层/共6层,中等装修,70年,2006年,普通住宅,其他,67.5                                万（月供6456元/月）,,,
庆春路金融街，浙一附近，小区环境好，边套，视野开 ,http://hz.58.com/ershoufang/33433980647875x.shtml,500                                万（单价37037                                元/㎡）,3室2厅2卫,135㎡,南北,高层/共18层,中等装修,70年,2003年,普通住宅,商品房,150                                万（月供14351元/月）,,,
凤起路，建国路，市红会医院，四大园，南北通透，阳 ,http://hz.58.com/ershoufang/33433980749766x.shtml,178                                万（单价31785                                元/㎡）,2室1厅1卫,56㎡,南北,中层/共7层,中等装修,70年,1997年,普通住宅,商品房,53.4                                万（月供5109元/月）,,,
居艺空间 独立产权现铺 总价60万起 四季年租金 ,http://hz.58.com/ershoufang/33477386622515x.shtml,65                                万（单价17105                                元/㎡）,1室1厅1卫,38㎡,南北,低层/共11层,中等装修,40年,2013年,其他,商住两用,19.5                                万（月供1864元/月）,,,
无需社保 可落户 70年产权住宅 自带学校和商业 ,http://hz.58.com/ershoufang/33443368479947x.shtml,120                                万（单价16438                                元/㎡）,2室2厅1卫,73㎡,南,中层/共25层,中等装修,50年,2015年,公寓,商品房,36                                万（月供3445元/月）,,,
文一路教工路 华门自由21世纪公寓 文一街小学十 ,http://hz.58.com/ershoufang/33498829856710x.shtml,340                                万（单价32535                                元/㎡）,2室2厅1卫,104.5㎡,南北,低层/共25层,中等装修,70年,2004年,普通住宅,其他,102                                万（月供9759元/月）,,,
康城国际370万好楼层好位置低价位 ,http://hz.58.com/ershoufang/33465264984652x.shtml,370                                万（单价27007                                元/㎡）,3室2厅2卫,137㎡,南北,中层/共18层,中等装修,70年,2010年,普通住宅,其他,111                                万（月供10618元/月）,,,
低总价，小户型可落户，丹枫学校奥体中心位置，钱塘 ,http://hz.58.com/ershoufang/33310927012795x.shtml,219                                万（单价42115                                元/㎡）,1室2厅1卫,52㎡,南北,高层/共6层,中等装修,70年,2004年,普通住宅,商品房,65.7                                万（月供6284元/月）,,,
带院子，小区配套完善，购物万宝城附近，采光好，入 ,http://hz.58.com/ershoufang/30275462880945x.shtml,65                                万（单价8783                                元/㎡）,2室2厅1卫,74㎡,南北,低层/共6层,中等装修,70年,1996年,普通住宅,商品房,19.5                                万（月供1864元/月）,,,
户型730万元中装业主急售！！！ ,http://hz.58.com/ershoufang/31254269651646x.shtml,730                                万（单价30165                                元/㎡）,4室3厅3卫,242㎡,南北,高层/共12层,中等装修,70年,2006年,普通住宅,其他,219                                万（月供20950元/月）,,,
瓜沥长沙老街 3室2厅1卫 ,http://hz.58.com/ershoufang/33208260177983x.shtml,65                                万（单价4961                                元/㎡）,3室2厅1卫,131㎡,南,共4层,中等装修,70年,,普通住宅,其他,19.5                                万（月供1864元/月）,,,
北干小区精装修繁华地段楼上94阁楼45送双露台双 ,http://hz.58.com/ershoufang/33462085278012x.shtml,298                                万（单价21438                                元/㎡）,4室2厅2卫,139㎡,南北,高层/共6层,中等装修,70年,1998年,普通住宅,商品房,89.4                                万（月供8553元/月）,,,
北干二苑 学驱房 黄 金架空二楼 前后采光无遮挡 ,http://hz.58.com/ershoufang/33429110905792x.shtml,182                                万（单价28000                                元/㎡）,2室1厅1卫,65㎡,南,高层/共7层,中等装修,70年,1995年,普通住宅,商品房,54.6                                万（月供5222元/月）,,,
