['粤Y585R0奇瑞牌小型汽车', '//sf.taobao.com/sf_item/564696196957.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72009和昌骅牌挂车晋A9579挂', '//sf.taobao.com/sf_item/566675328533.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72016和昌骅牌挂车晋A9582挂', '//sf.taobao.com/sf_item/566675716374.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72013和昌骅牌挂车晋A9591挂', '//sf.taobao.com/sf_item/566675728354.htm', 'failure']
['豫KXL848比亚迪牌小型普通客车', '//sf.taobao.com/sf_item/566757604518.htm', 'failure']
['辽AQ599D轻型厢式货车', '//sf.taobao.com/sf_item/566790905784.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72012和昌骅牌挂车晋A9554挂', '//sf.taobao.com/sf_item/566792705574.htm', 'failure']
['鲁NHS328号白色铃木利亚纳两厢小型普通客车', '//sf.taobao.com/sf_item/566793065748.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72995和昌骅牌挂车晋A9585挂', '//sf.taobao.com/sf_item/566793177560.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72015和昌骅牌挂车晋A9601挂', '//sf.taobao.com/sf_item/566793265116.htm', 'failure']
['车牌号为浙JKY716东南牌小型普通客车', '//sf.taobao.com/sf_item/566793934113.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72010和昌骅牌挂车晋A9596挂', '//sf.taobao.com/sf_item/566794101114.htm', 'failure']
['车牌号为浙CQ75D1号汽车一辆', '//sf.taobao.com/sf_item/566797175928.htm', 'failure']
['起亚蒙K8N300', '//sf.taobao.com/sf_item/566847373476.htm', 'failure']
['辽A33B20轻型厢式货车', '//sf.taobao.com/sf_item/566873870461.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A71994和昌骅牌挂车晋A9572挂', '//sf.taobao.com/sf_item/566876734213.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A71993和昌骅牌挂车晋A9590挂', '//sf.taobao.com/sf_item/566876778055.htm', 'failure']
['拍卖被执行人邬宏自有的东风日产轿车一辆（蒙K53N16)', '//sf.taobao.com/sf_item/566955703496.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72005和昌骅牌挂车晋A9592挂', '//sf.taobao.com/sf_item/566961251562.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72011和昌骅牌挂车晋A9593挂', '//sf.taobao.com/sf_item/566962299923.htm', 'failure']
['徐工牌XE210履带式液压挖掘机', '//sf.taobao.com/sf_item/567318617171.htm', 'failure']
['鲁QWA570号帕萨特轿车一辆', '//sf.taobao.com/sf_item/567402562380.htm', 'failure']
['云JDC767号路虎牌览胜极光小型越野车', '//sf.taobao.com/sf_item/567423246779.htm', 'failure']
['鲁GC692C号轻型普通货车一辆', '//sf.taobao.com/sf_item/567489579757.htm', 'failure']
['贵GJ9439的东风日产牌汽车一辆', '//sf.taobao.com/sf_item/564868801214.htm', 'failure']
['凯斯2388收获机（包括收割谷物、玉米割台各1个）', '//sf.taobao.com/sf_item/564890122053.htm', 'failure']
['凯斯T8040拖拉机', '//sf.taobao.com/sf_item/564972555361.htm', 'failure']
['北京现代小型轿车', '//sf.taobao.com/sf_item/565645560005.htm', 'failure']
['贵A07S33玛莎GTS小型轿车', '//sf.taobao.com/sf_item/565717104552.htm', 'failure']
['停放于张衡路派出所家属院内的车牌号为豫R068W0奇瑞牌轿车一辆', '//sf.taobao.com/sf_item/565916727585.htm', 'failure']
['2002年捷达车一辆', '//sf.taobao.com/sf_item/566018774668.htm', 'failure']
['杨成超所有的（登记在王福林名下）的鄂F2S211号东风牌重型仓栅式货车', '//sf.taobao.com/sf_item/566055236909.htm', 'failure']
['渝FV3922别克牌SGM7243ATA小轿车', '//sf.taobao.com/sf_item/566056278992.htm', 'failure']
['被执行人龚锡明所有的车牌号为湘MQ2168国产凯迪拉克牌小轿车一辆', '//sf.taobao.com/sf_item/566235448895.htm', 'failure']
['车牌号为苏LHC116别克牌小型汽车', '//sf.taobao.com/sf_item/566239412269.htm', 'failure']
['丰田牌汉兰达轿车', '//sf.taobao.com/sf_item/566295741968.htm', 'failure']
['白色牌照为黑ELQ080起亚K5轿车', '//sf.taobao.com/sf_item/566318659873.htm', 'failure']
['森林人2498CC越野车', '//sf.taobao.com/sf_item/566516939674.htm', 'failure']
['粤BU99U7东风牌小型普通客车一辆', '//sf.taobao.com/sf_item/566518648195.htm', 'failure']
['车牌号为鄂E555J5号奇瑞瑞麟汽车', '//sf.taobao.com/sf_item/566537101578.htm', 'failure']
['陈海林所有车牌号为鲁QC3F36号帕萨特轿车', '//sf.taobao.com/sf_item/566571833671.htm', 'failure']
['豪瀚牌重型半挂牵引车车牌号：津AR0196/冀BRM３２挂', '//sf.taobao.com/sf_item/566614014599.htm', 'failure']
['关于晋MFK529吉利帝豪轿车', '//sf.taobao.com/sf_item/566616544911.htm', 'failure']
['车牌号为皖PA4815陕汽牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566616624103.htm', 'failure']
['车牌号为皖PA4298华菱之星牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566617204228.htm', 'failure']
['（破）浙FBD872江铃小型汽车一辆', '//sf.taobao.com/sf_item/566646230200.htm', 'failure']
['鲁H688AT东风日产小型轿车', '//sf.taobao.com/sf_item/566660777377.htm', 'failure']
['豫N0D461号长安牌小型轿车一辆', '//sf.taobao.com/sf_item/566661645590.htm', 'failure']
['揽胜小型越野客车', '//sf.taobao.com/sf_item/566662508544.htm', 'failure']
['北京现代牌轿车一辆（蒙A301D1）', '//sf.taobao.com/sf_item/566662761549.htm', 'failure']
['重庆伟豪实业有限公司登记所有的渝C75389号金旅牌大型普通客车', '//sf.taobao.com/sf_item/566665172032.htm', 'failure']
['豫ES9189红旗汽车', '//sf.taobao.com/sf_item/566683780349.htm', 'failure']
['（破）闽CZC019尼桑牌轻型普通货车一辆', '//sf.taobao.com/sf_item/566692464873.htm', 'failure']
['（破）闽C00U65福田牌轻型普通货车一辆', '//sf.taobao.com/sf_item/566694652567.htm', 'failure']
['（破）闽C3788N梅赛德斯-奔驰轿车一辆', '//sf.taobao.com/sf_item/566695036023.htm', 'failure']
['（破）闽CN778J奔驰越野客车一辆', '//sf.taobao.com/sf_item/566695040223.htm', 'failure']
['（破）闽CZ9999梅赛德斯-奔驰牌轿车一辆', '//sf.taobao.com/sf_item/566695892030.htm', 'failure']
['（破）生活秀集团有限公司股东&mdash;陈少丰名下的1辆宝马小型轿车', '//sf.taobao.com/sf_item/566696331456.htm', 'failure']
['福克斯牌汽车', '//sf.taobao.com/sf_item/566737751496.htm', 'failure']
['苏DET522宇通牌大型专用校车', '//sf.taobao.com/sf_item/566740678790.htm', 'failure']
['车牌号为皖PA5508欧曼牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566782454900.htm', 'failure']
['苏CBC686（北京现代牌BH7162MW）小型轿车', '//sf.taobao.com/sf_item/566790530902.htm', 'failure']
['鲁B888GT号宾利汽车', '//sf.taobao.com/sf_item/566791605860.htm', 'failure']
['车牌号为皖PA4175华菱之星牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566811534308.htm', 'failure']
['（破）闽CDT003尼桑牌轻型普通货车一辆', '//sf.taobao.com/sf_item/566812937461.htm', 'failure']
['（破）闽CDJ386途安牌小型普通客车一辆', '//sf.taobao.com/sf_item/566813005402.htm', 'failure']
['（破）闽CDD083北京现代牌小型普通客车一辆', '//sf.taobao.com/sf_item/566813629086.htm', 'failure']
['（破）闽C77Y69尼桑牌轻型普通货车一辆', '//sf.taobao.com/sf_item/566814381089.htm', 'failure']
['（破）闽CN156G奥迪小型轿车一辆', '//sf.taobao.com/sf_item/566814645546.htm', 'failure']
['车牌号为皖PA4288华菱之星牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566815158454.htm', 'failure']
['丰田小型普通客车一辆', '//sf.taobao.com/sf_item/566865558467.htm', 'failure']
['东风牌重型自卸货车', '//sf.taobao.com/sf_item/566871507162.htm', 'failure']
['苏NWX808小型汽车', '//sf.taobao.com/sf_item/566879042202.htm', 'failure']
['（破）闽C29771东风牌重型厢式货车一辆', '//sf.taobao.com/sf_item/566894298993.htm', 'failure']
['（破）闽CDD816骐达牌小型轿车一辆', '//sf.taobao.com/sf_item/566895646196.htm', 'failure']
['（破）闽C26893金龙牌客车一辆', '//sf.taobao.com/sf_item/566897378043.htm', 'failure']
['车牌号为皖PA5589欧曼牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566898263027.htm', 'failure']
['车牌为湘ARQ733劳恩斯3342CC小轿车', '//sf.taobao.com/sf_item/566931502524.htm', 'failure']
['（破）闽C27337华菱之星牌重型普通货车一辆', '//sf.taobao.com/sf_item/566981719117.htm', 'failure']
['（破）闽CDD236别克牌小型普通客车一辆', '//sf.taobao.com/sf_item/566981815867.htm', 'failure']
['（破）闽CDC866奥铃牌轻型厢式货车一辆', '//sf.taobao.com/sf_item/566982443579.htm', 'failure']
['（破）闽C4009L宝来牌轿车一辆', '//sf.taobao.com/sf_item/566982707701.htm', 'failure']
['（破）闽C4009K奥迪Q5一辆', '//sf.taobao.com/sf_item/566982983260.htm', 'failure']
['（破）闽CN155E宝马牌越野车一辆', '//sf.taobao.com/sf_item/566983451663.htm', 'failure']
['（破）闽CN399A本田锋范一辆', '//sf.taobao.com/sf_item/566985579195.htm', 'failure']
['鲁HBL739福特轿车', '//sf.taobao.com/sf_item/567023734742.htm', 'failure']
['车牌号为鲁HD7179的神龙-富康牌轿车一辆', '//sf.taobao.com/sf_item/567085106240.htm', 'failure']
['长安牌轻型普通货车', '//sf.taobao.com/sf_item/567210967690.htm', 'failure']
['豫E6589/豫EC859挂福田重型货车', '//sf.taobao.com/sf_item/567261657051.htm', 'failure']
['冀GES772的东风牌小型汽车一辆', '//sf.taobao.com/sf_item/567338478602.htm', 'failure']
['轿车青AW5329（雪佛兰SGM7140MTB）', '//sf.taobao.com/sf_item/567468483047.htm', 'failure']
['豫AML893号上海别克客车一辆', '//sf.taobao.com/sf_item/567488191673.htm', 'failure']
['豫AF839U号上海别克轿车一辆', '//sf.taobao.com/sf_item/567488463872.htm', 'failure']
['雪佛兰轿车', '//sf.taobao.com/sf_item/566720785495.htm', 'failure']
['云AW0X68北汽幻速S3汽车', '//sf.taobao.com/sf_item/566159415341.htm', 'failure']
['粤J6928 挂车', '//sf.taobao.com/sf_item/564655800621.htm', 'failure']
['粤J6919 挂车', '//sf.taobao.com/sf_item/564838570053.htm', 'failure']
['粤J6910 挂车', '//sf.taobao.com/sf_item/564921147246.htm', 'failure']
['11米侧翻半挂车', '//sf.taobao.com/sf_item/565840317315.htm', 'failure']
['鲁HG1336解放牌牵引车及鲁HLK60天翔牌重型自卸半挂车', '//sf.taobao.com/sf_item/566592434801.htm', 'failure']
['川A877KM号汽车', '//sf.taobao.com/sf_item/566664117328.htm', 'failure']
['锋范牌豫D7J728号小型轿车', '//sf.taobao.com/sf_item/566666326638.htm', 'failure']
['奥迪A4车', '//sf.taobao.com/sf_item/566680788309.htm', 'failure']
['车牌号为桂CL8886宝马2996CC小轿车', '//sf.taobao.com/sf_item/566683356797.htm', 'failure']
['车牌号为豫QKW369纳智捷牌小型汽车一辆', '//sf.taobao.com/sf_item/566686220561.htm', 'failure']
['邓艳玲名下的赣CC4098号重型厢式货车', '//sf.taobao.com/sf_item/566731619434.htm', 'failure']
['津CBT916梅赛德斯奔驰牌BJ7205HEL小型轿车', '//sf.taobao.com/sf_item/566734985346.htm', 'failure']
['车辆品牌为宝马X6，车身黑色，核定载客5人，自动挡', '//sf.taobao.com/sf_item/566740129652.htm', 'failure']
['马自达汽车', '//sf.taobao.com/sf_item/566785557126.htm', 'failure']
['豫JZG656别克凯越一辆', '//sf.taobao.com/sf_item/566799641291.htm', 'failure']
['川AYIC67号宝马车辆', '//sf.taobao.com/sf_item/566799749690.htm', 'failure']
['雷克萨斯皖DB0333', '//sf.taobao.com/sf_item/566807415807.htm', 'failure']
['车牌为鲁E5838B奥迪牌小型普通客车一部', '//sf.taobao.com/sf_item/566884506065.htm', 'failure']
['苏DNF619号东风日产小型轿车一辆', '//sf.taobao.com/sf_item/565035095814.htm', 'failure']
['渝BS6867号乘龙营运货车', '//sf.taobao.com/sf_item/565095347104.htm', 'failure']
['贵BK1989宝马牌BMW7251MLIBMW5小型轿车一辆', '//sf.taobao.com/sf_item/565646188303.htm', 'failure']
['陈晓茹所有的野马牌车予以拍卖', '//sf.taobao.com/sf_item/565668916470.htm', 'failure']
['众泰T600', '//sf.taobao.com/sf_item/565719960131.htm', 'failure']
['津J53179号小型普通客车一辆', '//sf.taobao.com/sf_item/565778540416.htm', 'failure']
['福田牌BJ1089VEPEA-FB中型普通货车', '//sf.taobao.com/sf_item/566738601519.htm', 'failure']
['（破）镇江韦岗铁矿有限公司车牌号苏L07996桑塔纳3000一辆', '//sf.taobao.com/sf_item/566858040004.htm', 'failure']
['车牌号码为鲁A032XF东风日产风神轿车一辆', '//sf.taobao.com/sf_item/566900895546.htm', 'failure']
['桂N15087号乘龙牌重型自卸货车', '//sf.taobao.com/sf_item/567117502525.htm', 'failure']
['（破）镇江韦岗铁矿有限公司车牌号苏LM7871长城牌货车一辆', '//sf.taobao.com/sf_item/567146679560.htm', 'failure']
['（破）镇江韦岗铁矿有限公司车牌号苏L06979桑塔纳轿车一辆', '//sf.taobao.com/sf_item/567151467736.htm', 'failure']
['新疆若羌县一辆雷诺牌小型越野客车', '//sf.taobao.com/sf_item/567255106410.htm', 'failure']
['豫AD1556号重型厢式货车一辆', '//sf.taobao.com/sf_item/562515107290.htm', 'failure']
['浙J75811号解放牌大型汽车一辆', '//sf.taobao.com/sf_item/564763116260.htm', 'failure']
['云A88620克莱斯勒牌小型汽车一辆', '//sf.taobao.com/sf_item/564867001298.htm', 'failure']
['车牌号为鲁R20U21铃木奥拓C4KC07842蓝色小型汽车', '//sf.taobao.com/sf_item/565992223586.htm', 'failure']
['中集牌NTV9400GYQ重型罐式半挂车', '//sf.taobao.com/sf_item/566391968619.htm', 'failure']
['建成牌JC9409GYQQ重型罐式半挂车', '//sf.taobao.com/sf_item/566392560807.htm', 'failure']
['豪泺牌ZZ4257N3247C1重型半挂牵引车', '//sf.taobao.com/sf_item/566393212346.htm', 'failure']
['车牌号为豫JFX998的现代雅坤特轿车', '//sf.taobao.com/sf_item/566477176888.htm', 'failure']
['豪泺牌ZZ4257N3247C1重型半挂牵引车', '//sf.taobao.com/sf_item/566510561437.htm', 'failure']
['苏DET520宇通牌大型专用校车', '//sf.taobao.com/sf_item/566541456029.htm', 'failure']
['车牌号为皖PA4728陕汽牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566543332842.htm', 'failure']
['（破）瑞安市瓯江电机有限公司名下浙CZR090号吉奥牌小型普通客车', '//sf.taobao.com/sf_item/566552417592.htm', 'failure']
['鲁F75410号中型普通货车', '//sf.taobao.com/sf_item/566572781035.htm', 'failure']
['闽FEA171号汽车', '//sf.taobao.com/sf_item/566659961265.htm', 'failure']
['停放于东莞市寮步镇大众停车场粤S0822V明锐牌小型轿车一辆', '//sf.taobao.com/sf_item/566660673464.htm', 'failure']
['豫AS789U号长城牌轻型厢式货车一辆', '//sf.taobao.com/sf_item/566663606097.htm', 'failure']
['豫AOL580号丰田牌小型汽车一辆', '//sf.taobao.com/sf_item/566664426121.htm', 'failure']
['车牌号为皖PA4228华菱之星牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566664657651.htm', 'failure']
['桂A127Q1的北京现代牌BH6470MAY小型汽车', '//sf.taobao.com/sf_item/566717050282.htm', 'failure']
['豫A833LE比亚迪牌G3小型轿车', '//sf.taobao.com/sf_item/566734366287.htm', 'failure']
['豫AT888L号大众牌小型轿车一辆', '//sf.taobao.com/sf_item/566739463612.htm', 'failure']
['车牌号为皖PA4296华菱之星牌大型汽车一辆（不含车牌号）', '//sf.taobao.com/sf_item/566739990405.htm', 'failure']
['闽FU6913号汽车', '//sf.taobao.com/sf_item/566825447604.htm', 'failure']
['车牌号新N1E157，黑色帕萨特牌小型汽车，车辆类型：K33', '//sf.taobao.com/sf_item/566875144926.htm', 'failure']
['江铃牌粤RJC873小车', '//sf.taobao.com/sf_item/563454898143.htm', 'failure']
['车牌号为苏M2D399别克牌汽车一辆', '//sf.taobao.com/sf_item/564355420283.htm', 'failure']
['谭绍花名下的鲁JXP208东风牌面包车', '//sf.taobao.com/sf_item/564792741424.htm', 'failure']
['鲁f53c59梅赛德斯奔驰汽车', '//sf.taobao.com/sf_item/564879456507.htm', 'failure']
['车牌号为苏A12HA2的别克牌小型轿车一辆', '//sf.taobao.com/sf_item/565998385946.htm', 'failure']
['（破）车牌号为苏A1N136金杯等车辆', '//sf.taobao.com/sf_item/566246633751.htm', 'failure']
['粤A 7PR16号的小型客车', '//sf.taobao.com/sf_item/566298025323.htm', 'failure']
['豫K-58801号重型自卸货车', '//sf.taobao.com/sf_item/566447700549.htm', 'failure']
['中华牌轿车', '//sf.taobao.com/sf_item/566568349348.htm', 'failure']
['宁AFF518DV7201TCVT奥迪', '//sf.taobao.com/sf_item/566575405454.htm', 'failure']
['牌号为豫A686BP的江淮牌汽车', '//sf.taobao.com/sf_item/566584765625.htm', 'failure']
['晋C36186号福田牌厢式货车', '//sf.taobao.com/sf_item/566591777336.htm', 'failure']
['粤HGA318小汽车', '//sf.taobao.com/sf_item/566610502718.htm', 'failure']
['解放牌重型半挂牵引车一台和灵光牌重型普通半挂车一台', '//sf.taobao.com/sf_item/566618342612.htm', 'failure']
['车牌号为鲁QX872G 的大众捷达牌轿车', '//sf.taobao.com/sf_item/566650406291.htm', 'failure']
['凯迪拉克小型轿车', '//sf.taobao.com/sf_item/566651126908.htm', 'failure']
['丰田GTM6481ASLS小型普通客车', '//sf.taobao.com/sf_item/566678218252.htm', 'failure']
['川REE741小型科雷傲普通客车', '//sf.taobao.com/sf_item/566696907689.htm', 'failure']
['桂A3T222号雪佛兰小型汽车', '//sf.taobao.com/sf_item/566703755158.htm', 'failure']
['北京现代牌鲁D7377B号车辆。(不含车牌）', '//sf.taobao.com/sf_item/566738447260.htm', 'failure']
['宝骏牌小型轿车车牌号：豫PG5726', '//sf.taobao.com/sf_item/566915180712.htm', 'failure']
['开瑞牌小型面包车', '//sf.taobao.com/sf_item/566994625329.htm', 'failure']
['鲁GZ587Q号江铃全顺牌汽车一辆', '//sf.taobao.com/sf_item/567032665740.htm', 'failure']
['福田牌大型汽车', '//sf.taobao.com/sf_item/567123178857.htm', 'failure']
['蒙K59655大众途观小型普通客车一辆', '//sf.taobao.com/sf_item/567138158319.htm', 'failure']
['江铃牌小型普通客车', '//sf.taobao.com/sf_item/567165619299.htm', 'failure']
['驰程驾校所属东南牌DN7152MA5小型轿车一辆', '//sf.taobao.com/sf_item/567227987350.htm', 'failure']
['赣A19F68北京现代牌小轿车', '//sf.taobao.com/sf_item/565499922563.htm', 'failure']
['宁A39B80现代牌越野汽车', '//sf.taobao.com/sf_item/566266353156.htm', 'failure']
['田牌BJ1036V4AV5-K1载货汽车', '//sf.taobao.com/sf_item/566341744907.htm', 'failure']
['福田牌BJ5036XXY-K1厢式运输车', '//sf.taobao.com/sf_item/566342596699.htm', 'failure']
['福田牌BJ5043XXY-N1厢式运输车', '//sf.taobao.com/sf_item/566343880254.htm', 'failure']
['福田牌BJ1036V3AV5-N3载货汽车', '//sf.taobao.com/sf_item/566346768210.htm', 'failure']
['车牌号为宁A75939号进口宝马530i小型客车', '//sf.taobao.com/sf_item/566349426429.htm', 'failure']
['北京现代牌BH7141AY小型轿车', '//sf.taobao.com/sf_item/566417904622.htm', 'failure']
['陕J3A553号昊锐牌小型轿车一辆', '//sf.taobao.com/sf_item/566420044749.htm', 'failure']
['福田牌BJ1036V4JV5-K1载货汽车', '//sf.taobao.com/sf_item/566459345887.htm', 'failure']
['福田牌BJ1043V9JEA-A载货汽车', '//sf.taobao.com/sf_item/566462401759.htm', 'failure']
['福田牌BJ1042V9PB4-X1载货汽车', '//sf.taobao.com/sf_item/566464493572.htm', 'failure']
['鲁VM973X牌号轻型普通货车一辆', '//sf.taobao.com/sf_item/566514277606.htm', 'failure']
['拍卖被执行人王三女名下所有的车牌号为KTM002号，公里数：184430km', '//sf.taobao.com/sf_item/566517173516.htm', 'failure']
['豫QAF265号大众牌轿车一辆', '//sf.taobao.com/sf_item/566529197867.htm', 'failure']
['长安福特汽车有限公司生产的翼博SUV', '//sf.taobao.com/sf_item/566531825670.htm', 'failure']
['夏利牌汽车', '//sf.taobao.com/sf_item/566536441544.htm', 'failure']
['福田牌BJ5043XXY-N1厢式运输车', '//sf.taobao.com/sf_item/566542550785.htm', 'failure']
['豫J-YE655奇瑞牌车辆', '//sf.taobao.com/sf_item/566564537871.htm', 'failure']
['宇通牌ZK6888HA9大型普通客车', '//sf.taobao.com/sf_item/566586486471.htm', 'failure']
['豫PX2329陕汽牌重型半挂牵引车、豫P2H82挂鲁岳牌重型仓栅式半挂车一辆', '//sf.taobao.com/sf_item/566595174660.htm', 'failure']
['指南者牌COMPASS越野汽车', '//sf.taobao.com/sf_item/566625775064.htm', 'failure']
['福田牌BJ1036V4JV5-K1载货汽车', '//sf.taobao.com/sf_item/566626695147.htm', 'failure']
['福田牌BJ1043V9JEA-A载货汽车', '//sf.taobao.com/sf_item/566628627998.htm', 'failure']
['福田牌BJ1030V4JV4-A1载货汽车', '//sf.taobao.com/sf_item/566629867631.htm', 'failure']
['福田牌BJ5043XXY-N1厢式运输车', '//sf.taobao.com/sf_item/566633491146.htm', 'failure']
['陕KC3222号别克牌小型汽车一辆', '//sf.taobao.com/sf_item/566700959067.htm', 'failure']
['长安之星，车牌号蒙CKF563', '//sf.taobao.com/sf_item/566732427376.htm', 'failure']
['鲁Q-769WV长城牌小型轿车', '//sf.taobao.com/sf_item/566796784610.htm', 'failure']
['河南亚立货物运输有限公司名下十头十挂危化品运输车辆拍卖', '//sf.taobao.com/sf_item/566877248045.htm', 'failure']
['耿加奎所有的登记在刘顺东名下的冀AJ138X轿车一辆', '//sf.taobao.com/sf_item/566982381160.htm', 'failure']
['车牌号码为鲁G2928Y长安SC7135A小型汽车', '//sf.taobao.com/sf_item/567161527997.htm', 'failure']
['五菱牌LZW6407B3型面包车', '//sf.taobao.com/sf_item/563798676968.htm', 'failure']
['黄海牌赣B3E000号小型普通客车', '//sf.taobao.com/sf_item/564974299005.htm', 'failure']
['（最后一拍）闽CV3297长安牌机动车', '//sf.taobao.com/sf_item/565440949187.htm', 'failure']
['蒙A8K606丰田牌汽车一辆', '//sf.taobao.com/sf_item/566051119578.htm', 'failure']
['蒙KJ4444丰田牌汽车', '//sf.taobao.com/sf_item/566138329724.htm', 'failure']
['牌照为蒙CKZ787的灰色吉利牌小型轿车', '//sf.taobao.com/sf_item/566186536154.htm', 'failure']
['鲁LEB203号牌东风悦达起亚牌轿车一辆', '//sf.taobao.com/sf_item/566235060016.htm', 'failure']
['浙C606H2奇瑞牌小型汽车', '//sf.taobao.com/sf_item/566290614765.htm', 'failure']
['贵GC8997号奥迪牌A8L汽车一辆', '//sf.taobao.com/sf_item/566301093226.htm', 'failure']
['东风标致牌小型汽车1辆，车牌号码为闽FET338', '//sf.taobao.com/sf_item/566324646793.htm', 'failure']
['吉A-ZV916荣威牌轿车', '//sf.taobao.com/sf_item/566351141569.htm', 'failure']
['晋H38278大运牌重型半挂牵引车/晋HH353汇达牌重型厢式半挂车', '//sf.taobao.com/sf_item/566351961870.htm', 'failure']
