['鲁JZZ777宝马牌BMW7301EL小型轿车', '//sf.taobao.com/sf_item/565014166140.htm', 1519869600000]
['路虎揽胜牌小型越野车', '//sf.taobao.com/sf_item/566876066068.htm', 1524103200000]
['拍卖浙JQ766J号奇瑞牌小型汽车', '//sf.taobao.com/sf_item/566878432885.htm', 1524103200000]
['津GTR531日产GT-R牌小型轿车', '//sf.taobao.com/sf_item/566878496250.htm', 1524103200000]
['粤EX5803大型汽车（大运牌）', '//sf.taobao.com/sf_item/566879668099.htm', 1524103200000]
['川AV9780凯宴小型越野客车', '//sf.taobao.com/sf_item/566976181550.htm', 1524103200000]
['津AEF090小型普通客车', '//sf.taobao.com/sf_item/566993365958.htm', 1524103200000]
['登记在公主岭市亿阳物流有限公司车牌号吉C3C760重型自卸货车', '//sf.taobao.com/sf_item/567033045919.htm', 1524103200000]
['鄂CLP670东风标致牌车辆一辆', '//sf.taobao.com/sf_item/567036853225.htm', 1524103200000]
['粤EX5906大型汽车（大运牌）', '//sf.taobao.com/sf_item/567083766651.htm', 1524103200000]
['粤EX5200大型汽车（大运牌）', '//sf.taobao.com/sf_item/567085866565.htm', 1524103200000]
['甘NC2473华泰圣达菲牌SDH6454M4小型普通客车', '//sf.taobao.com/sf_item/567164951915.htm', 1524103200000]
['车牌号为浙AX8A25号汽车一辆', '//sf.taobao.com/sf_item/567165751430.htm', 1524103200000]
['粤EX4449大型汽车（大运牌）', '//sf.taobao.com/sf_item/567170687394.htm', 1524103200000]
['粤EX5903大型汽车（大运牌）', '//sf.taobao.com/sf_item/567170707073.htm', 1524103200000]
['车牌号为浙C0L002丰田牌小型汽车', '//sf.taobao.com/sf_item/567171011739.htm', 1524103200000]
['（破）苏州航天特谱清洁能源有限公司苏E3827A捷达牌小汽车', '//sf.taobao.com/sf_item/567375456942.htm', 1524103200000]
['湘E7HY85号力帆牌LF7152B型小汽车', '//sf.taobao.com/sf_item/567532010912.htm', 1524103200000]
['闽G31969海马牌轿车', '//sf.taobao.com/sf_item/565569206148.htm', 1521770400000]
['云GNK452号红色劲隆摩托车', '//sf.taobao.com/sf_item/565469790127.htm', 1521536400000]
['牌号为浙B730Y9梅塞德斯-奔驰牌小型轿车', '//sf.taobao.com/sf_item/567023242883.htm', 1524016800000]
['车牌号为浙A666EW号汽车一辆', '//sf.taobao.com/sf_item/566782973035.htm', 1524016800000]
['车牌为浙A857WV巡洋舰牌小型越野客车一辆', '//sf.taobao.com/sf_item/566917949553.htm', 1524016800000]
['车牌号为浙A798G3号汽车一辆', '//sf.taobao.com/sf_item/566782857677.htm', 1524016800000]
['浙AHF869车辆', '//sf.taobao.com/sf_item/567102231049.htm', 1524016800000]
['苏FGK582北京现代牌汽车一辆', '//sf.taobao.com/sf_item/566881822589.htm', 1524016800000]
['车牌为浙H36761别克小型普通客车一辆', '//sf.taobao.com/sf_item/567402534376.htm', 1524016800000]
['沪ATD219江铃轻型箱式货车', '//sf.taobao.com/sf_item/566571361225.htm', 1523844000000]
['粤JWC031黑色奥迪小型汽车', '//sf.taobao.com/sf_item/567012302572.htm', 1524016800000]
['车牌号为浙AJ01W0的小型普通客车一辆', '//sf.taobao.com/sf_item/567088803329.htm', 1524016800000]
['关于拍卖被执行人XXX所有的闽C3T863号宝来小型轿车', '//sf.taobao.com/sf_item/565658508812.htm', 1524016800000]
['牌号为浙BG29E7的小型轿车一辆', '//sf.taobao.com/sf_item/566240628425.htm', 1524016800000]
['罗健所有的北京现代牌汽车（号牌号码：川EB8605）', '//sf.taobao.com/sf_item/566784901547.htm', 1524016800000]
['沪AGY015江铃小型非载货专项作业车', '//sf.taobao.com/sf_item/566738007949.htm', 1523844000000]
['浙B-K037G马自达汽车', '//sf.taobao.com/sf_item/566632953557.htm', 1524016800000]
['贵JTL259小型轿车（本田思域（CIVIC））', '//sf.taobao.com/sf_item/567008430460.htm', 1524016800000]
['赣CU3518陕汽牌SX3255NR464重型自卸货车', '//sf.taobao.com/sf_item/566822568116.htm', 1524016800000]
['琼AXV960黑色雷克萨斯小型汽车', '//sf.taobao.com/sf_item/566928757294.htm', 1524016800000]
['鲁BX182U号车', '//sf.taobao.com/sf_item/567088286561.htm', 1524016800000]
['浙AJ578 N黑色奥迪A6轿车一辆', '//sf.taobao.com/sf_item/567025558291.htm', 1524016800000]
['鲁D6N099雅阁牌轿车一辆', '//sf.taobao.com/sf_item/566740503774.htm', 1524016800000]
['苏CY556Q丰田牌小型轿车', '//sf.taobao.com/sf_item/567021002312.htm', 1524016800000]
['车牌号为浙AX6H83号汽车一辆', '//sf.taobao.com/sf_item/566864486445.htm', 1524016800000]
['浙C573C3北京现代牌小型轿车', '//sf.taobao.com/sf_item/566966719135.htm', 1524016800000]
['浙G500PU五十铃牌轻型普通货车', '//sf.taobao.com/sf_item/566758815593.htm', 1524016800000]
['北京现代牌小型普通客车', '//sf.taobao.com/sf_item/566942925157.htm', 1524016800000]
['车牌号为浙A06N06号汽车一辆', '//sf.taobao.com/sf_item/566949683990.htm', 1524016800000]
['（一拍）苏EMA352汽车一辆', '//sf.taobao.com/sf_item/567093323834.htm', 1524016800000]
['被执行人王胜英所有的车牌号为湘MA1977丰田牌轿车一辆', '//sf.taobao.com/sf_item/566085603934.htm', 1524016800000]
['吴宏明所有的雪佛兰轿车一辆', '//sf.taobao.com/sf_item/566801832108.htm', 1524016800000]
['桂A13921雷诺科雷傲越野车', '//sf.taobao.com/sf_item/567087159059.htm', 1524016800000]
['梅赛德斯-奔驰', '//sf.taobao.com/sf_item/567017390345.htm', 1524016800000]
['鲁QU8333奔驰ML300牌小型汽车一辆', '//sf.taobao.com/sf_item/567024446409.htm', 1524016800000]
['鲁H29K20帕萨特牌小型轿车', '//sf.taobao.com/sf_item/566821302652.htm', 1524016800000]
['鲁MU1100东风日产牌车辆', '//sf.taobao.com/sf_item/566931649599.htm', 1524016800000]
['车牌号为浙ANS317长安牌小型客车', '//sf.taobao.com/sf_item/567006754139.htm', 1524016800000]
['牌照号为冀D959AC黑色宝马528Li汽车一辆', '//sf.taobao.com/sf_item/566372027990.htm', 1524016800000]
['鲁P1858C雪佛兰牌车辆', '//sf.taobao.com/sf_item/566930813915.htm', 1524016800000]
['赣B69Z82白色现代轿车一辆', '//sf.taobao.com/sf_item/566942069618.htm', 1524016800000]
['捷豹新MYP996', '//sf.taobao.com/sf_item/567316432466.htm', 1524016800000]
['粤BX720F号奔驰牌小型客车', '//sf.taobao.com/sf_item/567375453674.htm', 1524016800000]
['车牌号浙AC2V58号小型车辆', '//sf.taobao.com/sf_item/566630265059.htm', 1523930400000]
['车牌号浙AY6W68小型车辆', '//sf.taobao.com/sf_item/566798707041.htm', 1523930400000]
['车牌号为浙DD1F90号汽车一辆', '//sf.taobao.com/sf_item/566708214568.htm', 1523930400000]
['闽JCG909东风日产牌DFL7165VAK1小型轿车', '//sf.taobao.com/sf_item/565881112641.htm', 1523930400000]
['桂JW2935号牌小型车辆', '//sf.taobao.com/sf_item/566783361290.htm', 1523930400000]
['车牌号为浙F5876D朗逸牌－SVW7167BSD型小型轿车一辆', '//sf.taobao.com/sf_item/566807078080.htm', 1523930400000]
['车牌号为浙F152DH奥德赛牌－HG6482BAC4A型普通客车一辆', '//sf.taobao.com/sf_item/566810614106.htm', 1523930400000]
['车牌号为浙A8NQ61号汽车一辆', '//sf.taobao.com/sf_item/566629749758.htm', 1523930400000]
['车牌号浙A5AT77小型车辆', '//sf.taobao.com/sf_item/566473172854.htm', 1523930400000]
['轩逸牌湘A8RQ39车辆', '//sf.taobao.com/sf_item/565749142572.htm', 1523930400000]
['车牌号为浙F333P3北京现代牌－BH7167AY型小型轿车一辆', '//sf.taobao.com/sf_item/566873811915.htm', 1523930400000]
['车牌号为浙C8865Z号汽车一辆', '//sf.taobao.com/sf_item/566708658466.htm', 1523930400000]
['车牌号为浙B676WT的车辆', '//sf.taobao.com/sf_item/566800181631.htm', 1523930400000]
['车牌为浙AG359N双排厢式轻卡一辆', '//sf.taobao.com/sf_item/567195724016.htm', 1523930400000]
['云DBM969', '//sf.taobao.com/sf_item/565965398860.htm', 1523844000000]
['湘AU1J68大众牌小型汽车一辆', '//sf.taobao.com/sf_item/566594177678.htm', 1523930400000]
['车牌号为浙JB102A江淮牌小型普通客车', '//sf.taobao.com/sf_item/566712289587.htm', 1523930400000]
['车牌号为浙JWN595威志牌小型汽车', '//sf.taobao.com/sf_item/566876851085.htm', 1523930400000]
['鲁F716X1号宝马X1轿车', '//sf.taobao.com/sf_item/567056514337.htm', 1523930400000]
['车牌号为浙A953FN小车', '//sf.taobao.com/sf_item/566741066580.htm', 1523930400000]
['车牌号为湘JG9960酷威2360CC非营运小型普通客车', '//sf.taobao.com/sf_item/566738811825.htm', 1523930400000]
['徐工牌QY100K汽车起重机', '//sf.taobao.com/sf_item/567497643746.htm', 1523930400000]
['晋AH533W丰田牌汽车一辆', '//sf.taobao.com/sf_item/566794849626.htm', 1523930400000]
['浙A3GS87夏利牌小型轿车', '//sf.taobao.com/sf_item/565758393100.htm', 1523930400000]
['苏CR2728号华菱之星牌HN5310Z29D4重型仓栅式货车', '//sf.taobao.com/sf_item/567209452536.htm', 1523930400000]
['晋AH567T丰田牌汽车一辆', '//sf.taobao.com/sf_item/566963739510.htm', 1523930400000]
['成都市高新区吉泰五路88号3栋21层6号', '//sf.taobao.com/sf_item/565866096453.htm', 1523930400000]
['苏K95V98朗逸', '//sf.taobao.com/sf_item/566293740827.htm', 1523930400000]
['鲁C3622E号起亚牌轿车一辆', '//sf.taobao.com/sf_item/566646390579.htm', 1523930400000]
['豫HJP668本田飞度牌小型轿车一辆', '//sf.taobao.com/sf_item/566666634799.htm', 1523930400000]
['车牌号为湘KH1137号奥迪车', '//sf.taobao.com/sf_item/566736827214.htm', 1523930400000]
['被执行人王明喜之妻房士英名下鲁QJQ262号五菱面包车一辆', '//sf.taobao.com/sf_item/566737503225.htm', 1523930400000]
['粤E0Z889号小型车辆', '//sf.taobao.com/sf_item/566784401629.htm', 1523930400000]
['车牌号为浙AAP792号汽车一辆', '//sf.taobao.com/sf_item/566797843350.htm', 1523930400000]
['黄岩法院关于车牌号为浙J55U36马自达牌小型汽车的拍卖公告', '//sf.taobao.com/sf_item/566822647070.htm', 1523930400000]
['闽FBF652号长安奥拓牌小型轿车', '//sf.taobao.com/sf_item/567203800621.htm', 1523930400000]
['闽F89156号汽车', '//sf.taobao.com/sf_item/567325497377.htm', 1523930400000]
['闽F19289号车', '//sf.taobao.com/sf_item/567326053338.htm', 1523930400000]
['郭公会所有豫M81983号尼桑牌轿车', '//sf.taobao.com/sf_item/566182720750.htm', 1522375200000]
['粤X17565号梅赛德斯奔驰牌小轿车', '//sf.taobao.com/sf_item/566797813976.htm', 1523844000000]
['被执行人苏绍贤名下粤B299DS号丰田（普瑞维亚）小型汽车一辆', '//sf.taobao.com/sf_item/566964935910.htm', 1523844000000]
['粤X47D05号五菱牌小型轿车', '//sf.taobao.com/sf_item/566680220111.htm', 1523844000000]
['桂A01041奇瑞牌白色小型轿车一辆', '//sf.taobao.com/sf_item/567162460738.htm', 1523844000000]
['粤X45015号长安牌小型面包车', '//sf.taobao.com/sf_item/566679460119.htm', 1523844000000]
['苏NF5150大型汽车', '//sf.taobao.com/sf_item/566677500431.htm', 1523844000000]
['（破）车牌号为浙A280HY的长安牌小型面包车壹辆', '//sf.taobao.com/sf_item/566878562048.htm', 1523844000000]
['渝AVA679劳斯莱斯.古思特小型汽车一辆', '//sf.taobao.com/sf_item/566617088100.htm', 1523844000000]
['粤XHK095小型汽车一辆', '//sf.taobao.com/sf_item/566898863219.htm', 1523844000000]
['粤T901B7号宝马牌小汽车一辆', '//sf.taobao.com/sf_item/566783362907.htm', 1523844000000]
['粤XMN139号北京现代牌小型轿车', '//sf.taobao.com/sf_item/566881150071.htm', 1523844000000]
['川J69561东风日产牌汽车一辆', '//sf.taobao.com/sf_item/566875799242.htm', 1523844000000]
['（破）车牌号为浙AQ287N的桑塔纳小型轿车壹辆', '//sf.taobao.com/sf_item/566677404162.htm', 1523844000000]
['（破）闽CM871Y劳斯莱斯轿车', '//sf.taobao.com/sf_item/566984015305.htm', 1523844000000]
['川XD128J别克牌5座小型客车', '//sf.taobao.com/sf_item/566672262344.htm', 1523844000000]
['粤XWC969号日本斯巴鲁傲虎', '//sf.taobao.com/sf_item/566798465947.htm', 1523844000000]
['粤XKS456号沃尔沃牌小型轿车', '//sf.taobao.com/sf_item/566798149982.htm', 1523844000000]
['豫DMG293名爵牌小型轿车', '//sf.taobao.com/sf_item/566741574901.htm', 1523844000000]
['浙GHZ058号梅赛德斯奔驰牌汽车', '//sf.taobao.com/sf_item/565851490889.htm', 1523844000000]
['被执行人蔡汉朝名下奥德赛牌小轿车一辆（号牌号码：粤DZ8329）', '//sf.taobao.com/sf_item/566378986410.htm', 1523844000000]
['拍卖车牌为浙AVT698宝马牌小型轿车壹辆', '//sf.taobao.com/sf_item/566639301791.htm', 1523844000000]
['浙BPZ633桑塔纳牌黑色小型轿车一辆', '//sf.taobao.com/sf_item/566961467946.htm', 1523844000000]
['鲁H63Y89长城牌轻型货车', '//sf.taobao.com/sf_item/566740523280.htm', 1523844000000]
['浙J5262R小型普通客车', '//sf.taobao.com/sf_item/566805143236.htm', 1523844000000]
['苏K730A3东风牌汽车', '//sf.taobao.com/sf_item/566486730653.htm', 1523844000000]
['粤XHW919号东风本田', '//sf.taobao.com/sf_item/566881242477.htm', 1523844000000]
['浙JH701A丰田牌TV7166GD小型轿车一辆', '//sf.taobao.com/sf_item/566856974788.htm', 1523844000000]
['闽HR6996号大众牌小轿车', '//sf.taobao.com/sf_item/566663684607.htm', 1523844000000]
['浙JFS767思威牌(本田crv)DHW6461小型普通客车', '//sf.taobao.com/sf_item/566868710345.htm', 1523844000000]
['浙B3056Q别克牌蓝色小型轿车一辆', '//sf.taobao.com/sf_item/566794221037.htm', 1523844000000]
['粤BJ7D45号上海通用别克牌小型轿车', '//sf.taobao.com/sf_item/566797373870.htm', 1523844000000]
['云DSB250号奥迪WAU8FD8T小型轿车', '//sf.taobao.com/sf_item/566589290923.htm', 1523844000000]
['牌号为京NV88M8宝马小型轿车一辆', '//sf.taobao.com/sf_item/566682032763.htm', 1523844000000]
['鲁H19B11凯迪拉克小型越野客车', '//sf.taobao.com/sf_item/567023382749.htm', 1523844000000]
['鲁Q231BK别克牌轿车', '//sf.taobao.com/sf_item/566730133958.htm', 1523844000000]
['浙B3PN09梅赛德斯-奔驰牌小型轿车一辆', '//sf.taobao.com/sf_item/566805835566.htm', 1523844000000]
['牌照号为浙B226LM的车辆', '//sf.taobao.com/sf_item/566756551982.htm', 1523844000000]
['牌照号为浙B88S99的车辆', '//sf.taobao.com/sf_item/566589113634.htm', 1523844000000]
['被执行人林静勇名下粤B2C926飞度牌轿车一辆', '//sf.taobao.com/sf_item/566950627620.htm', 1523844000000]
['浙H8276G小型轿车壹辆', '//sf.taobao.com/sf_item/566781985714.htm', 1523844000000]
['车牌为湘LGX979翼虎牌小型普通客车', '//sf.taobao.com/sf_item/566414636476.htm', 1523844000000]
['哈弗H62015款运动版1.5T自动两驱尊享型汽车', '//sf.taobao.com/sf_item/567315973110.htm', 1523844000000]
['苏JLP703号奔驰牌小型汽车一辆', '//sf.taobao.com/sf_item/566050454222.htm', 1523844000000]
['闽HW3826号东风日产牌汽车一辆', '//sf.taobao.com/sf_item/566963655928.htm', 1523844000000]
['粤XY6756小型汽车一辆', '//sf.taobao.com/sf_item/566899303766.htm', 1523844000000]
['车牌号为浙C2P133雅阁牌小型汽车', '//sf.taobao.com/sf_item/566816582266.htm', 1523844000000]
['车牌号浙CP8P35雅阁牌小型汽车一辆', '//sf.taobao.com/sf_item/566782961109.htm', 1523844000000]
['鲁FFR325大众汽车一辆', '//sf.taobao.com/sf_item/566446180480.htm', 1523844000000]
['（非小客车！仅车辆本身）浙AR1E27五菱牌轻型普通货车一辆', '//sf.taobao.com/sf_item/566742254089.htm', 1523844000000]
['车牌号为陕A081AC梅赛德斯奔驰WDDNG5EB轿车', '//sf.taobao.com/sf_item/566609632905.htm', 1523844000000]
['豫AAJ909号北京现代汽车一辆', '//sf.taobao.com/sf_item/567489003009.htm', 1523844000000]
['多功能拖拉机', '//sf.taobao.com/sf_item/566485720533.htm', 1523844000000]
['渝B58L92汽车一台', '//sf.taobao.com/sf_item/566614584736.htm', 1523844000000]
['粤BK8040东风牌重型厢式货车', '//sf.taobao.com/sf_item/566798861890.htm', 1523844000000]
['豫M17307宝马牌小型轿车', '//sf.taobao.com/sf_item/565831416373.htm', 1523844000000]
['豫A233X8号奥德赛汽车一辆', '//sf.taobao.com/sf_item/567192848558.htm', 1523844000000]
['车牌号浙KY1549丰田牌小型汽车一辆', '//sf.taobao.com/sf_item/566868286639.htm', 1523844000000]
['甘AU4316号起亚牌小轿车', '//sf.taobao.com/sf_item/566785925550.htm', 1523844000000]
['苏ETP320本田奥德赛小型汽车一辆', '//sf.taobao.com/sf_item/566737621149.htm', 1523844000000]
['（破）浙FB8713五十铃牌大型汽车一辆', '//sf.taobao.com/sf_item/566448792949.htm', 1523844000000]
['黄山振龙电源有限公司名下车牌号为皖JZL678五菱牌的小型汽车一辆', '//sf.taobao.com/sf_item/565839637939.htm', 1523844000000]
['豫AK00Y8奥迪轿车一辆', '//sf.taobao.com/sf_item/567488899344.htm', 1523844000000]
['停放于张衡路派出所家属院的车牌号为豫R6P089五菱牌机动车一辆', '//sf.taobao.com/sf_item/565641952967.htm', 1523844000000]
['鲁BS9F30号丰田汽车一辆', '//sf.taobao.com/sf_item/565837458571.htm', 1523844000000]
['辽A8339Q长城牌CC6461KM07小型越野客车', '//sf.taobao.com/sf_item/566200224256.htm', 1523844000000]
['豫C55S38起亚牌YQZ7166AEJ', '//sf.taobao.com/sf_item/566419664166.htm', 1523844000000]
['一辆鲁H0G019迈腾牌FV7187TAT小型轿车', '//sf.taobao.com/sf_item/566472300653.htm', 1523844000000]
['浙B0288G桑塔纳牌SVW7180LEI小型轿车一辆', '//sf.taobao.com/sf_item/566667524899.htm', 1523844000000]
['鲁G7277C号奔腾B50小型轿车一辆', '//sf.taobao.com/sf_item/566712433132.htm', 1523844000000]
['北京现代牌轿车一辆（车牌号：浙CD56A1）', '//sf.taobao.com/sf_item/566789641256.htm', 1523844000000]
['拍卖车牌为浙A2277G桑塔纳牌小型轿车壹辆', '//sf.taobao.com/sf_item/566879314375.htm', 1523844000000]
['浙GG9M33号梅赛德斯奔驰牌汽车', '//sf.taobao.com/sf_item/566880978600.htm', 1523844000000]
['豫A9971Q别克牌汽车', '//sf.taobao.com/sf_item/566899943331.htm', 1523844000000]
['豫A9972Q别克牌轿车', '//sf.taobao.com/sf_item/566900139003.htm', 1523844000000]
['浙JMY632丰田牌TV7250S4SP小型轿车一辆', '//sf.taobao.com/sf_item/566944047275.htm', 1523844000000]
['浙JP036H号奥迪牌小型汽车', '//sf.taobao.com/sf_item/566951519116.htm', 1523844000000]
['皖HG5377丰田牌小型汽车', '//sf.taobao.com/sf_item/566965955005.htm', 1523844000000]
['浙BZ1Y78号小型轿车', '//sf.taobao.com/sf_item/566965991414.htm', 1523844000000]
['牌号为豫AN35B8的起亚牌汽车一辆', '//sf.taobao.com/sf_item/566967283639.htm', 1523844000000]
['鲁VD516L途锐小型越野客车', '//sf.taobao.com/sf_item/567133808486.htm', 1523844000000]
['大众辉腾牌轿车一台', '//sf.taobao.com/sf_item/567363726863.htm', 1523844000000]
['桂RZ9488号索兰托2359CC小客车KNAK一辆', '//sf.taobao.com/sf_item/567465563762.htm', 1523844000000]
['车牌号川A5PM77的车辆', '//sf.taobao.com/sf_item/566664633387.htm', 1523775600000]
