标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价,总跳跃幅度,总跳跃次数,平均跳跃幅度,前期总跳跃幅度,前期总跳跃次数,前期平均跳跃幅度,中期总跳跃幅度,中期总跳跃次数,中期平均跳跃幅度,后期总跳跃幅度,后期总跳跃次数,后期平均跳跃幅度,竞买记录,跳跃记录
处置浙BX81D8的小型普通客车一辆,https://sf.taobao.com/sf_item/566999017053.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,94000,2018/4/20 10:25,22,"60,000","12,000","83,720","1,000",1天,5分钟,拍卖,无,象山县人民法院,6,132,11596,35,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566999017053.csv,.\data\566999017053jump.csv
通华牌THT5411THB 车牌号码为：苏KG0332,https://sf.taobao.com/sf_item/566694939637.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,436000,2018/4/20 10:24,17,"336,000","30,000","480,000","5,000",1天,5分钟,拍卖,无,扬州经济技术开发区人民法院,5,48,3113,21,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566694939637.csv,.\data\566694939637jump.csv
甘AQB128中华牌轿车,https://sf.taobao.com/sf_item/566881784417.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,22400,2018/4/20 10:20,12,"11,200","2,200","16,000",200,1天,5分钟,拍卖,无,白银市白银区人民法院,11,99,3321,34,,4600,11,418.1818182,1600,4,400,1800,4,450,1200,3,400,.\data\566881784417.csv,.\data\566881784417jump.csv
（破）瑞安市福村工具制造有限公司浙CXJ365别克昂科雷客车,https://sf.taobao.com/sf_item/566860980402.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,79000,2018/4/20 10:20,24,"51,000","7,250","72,500",500,1天,5分钟,拍卖,无,瑞安市福村工具制造有限公司管理人,13,331,12149,41,,8000,3,2666.666667,0,0,0,3000,1,3000,5000,2,2500,.\data\566860980402.csv,.\data\566860980402jump.csv
浙JW7979思迪牌小型轿车一辆,https://sf.taobao.com/sf_item/567670535003.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,30400,2018/4/20 10:19,18,"22,000","3,300","39,000",400,1天,5分钟,拍卖,无,温岭市人民法院,6,44,2552,21,,400,1,400,0,0,0,400,1,400,0,0,0,.\data\567670535003.csv,.\data\567670535003jump.csv
辽B1E969号大众牌车辆,https://sf.taobao.com/sf_item/567490775580.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,102000,2018/4/20 10:18,8,"92,000","10,000","113,800","1,000",1天,5分钟,拍卖,无,大连市西岗区人民法院,6,70,5874,11,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567490775580.csv,.\data\567490775580jump.csv
牌号为苏F185UW奥迪牌小型汽车,https://sf.taobao.com/sf_item/566736429659.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,286000,2018/4/20 10:18,15,"224,000","20,000",,"2,000",1天,5分钟,拍卖,无,南通市通州区人民法院,7,353,14331,25,"320,000",14000,3,4666.666667,0,0,0,0,0,0,14000,3,4666.666667,.\data\566736429659.csv,.\data\566736429659jump.csv
丰田威驰K33小型轿车汽车,https://sf.taobao.com/sf_item/566750613391.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,9050,2018/4/20 10:17,10,"8,050","1,600","11,500",100,1天,5分钟,拍卖,无,韶山市人民法院,8,92,7520,11,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566750613391.csv,.\data\566750613391jump.csv
车牌号为浙CL2Y95宝马牌小型汽车,https://sf.taobao.com/sf_item/566997989426.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,269413.1,2018/4/20 10:17,20,"159,413.10","31,000","227,733","1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,20,850,17420,99,,12000,4,3000,0,0,0,12000,4,3000,0,0,0,.\data\566997989426.csv,.\data\566997989426jump.csv
（破）瑞安市福村工具制造有限公司浙CB8W66长安牌小型普通客车,https://sf.taobao.com/sf_item/567063334894.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,16600,2018/4/20 10:17,6,"11,000","1,500","15,300",200,1天,5分钟,拍卖,无,瑞安市福村工具制造有限公司管理人,8,95,3593,28,,200,1,200,0,0,0,200,1,200,0,0,0,.\data\567063334894.csv,.\data\567063334894jump.csv
晋A7982K丰田牌越野车,https://sf.taobao.com/sf_item/566996961891.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,337800,2018/4/20 10:16,21,"219,800","20,000","314,000","1,000",1天,5分钟,拍卖,无,太原市尖草坪区人民法院,18,588,12165,33,,86000,7,12285.71429,82000,6,13666.66667,0,0,0,4000,1,4000,.\data\566996961891.csv,.\data\566996961891jump.csv
粤T 67D81号的小型汽车,https://sf.taobao.com/sf_item/566288850321.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,141800,2018/4/20 10:16,8,"98,100","19,000","153,279","1,900",1天,5分钟,拍卖,无,中山市第一人民法院,13,318,17567,24,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566288850321.csv,.\data\566288850321jump.csv
猎豹牌越野车,https://sf.taobao.com/sf_item/567086486516.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,56154,2018/4/20 10:14,7,"44,654","5,000","44,654",500,1天,5分钟,拍卖,无,江城哈尼族彝族自治县人民法院,4,114,5273,24,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567086486516.csv,.\data\567086486516jump.csv
（破）车牌为浙E15509的金龙牌汽车,https://sf.taobao.com/sf_item/567467821068.htm,2018/4/19 10:00,2018/4/20 10:00,再次拍卖,57352,2018/4/20 10:14,17,"36,352","5,000","56,800","1,000",1天,5分钟,拍卖,无,湖州厉华妤婕联合纺织有限公司管理人,4,59,2560,22,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567467821068.csv,.\data\567467821068jump.csv
浙JD296K号丰田牌小型汽车,https://sf.taobao.com/sf_item/567081390826.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,148000,2018/4/20 10:14,5,"88,000","17,000","125,000","3,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,12,711,13206,21,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567081390826.csv,.\data\567081390826jump.csv
甘AHP663森林人牌越野车,https://sf.taobao.com/sf_item/567087982931.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,73729,2018/4/20 10:14,6,"43,729","8,500","62,470",500,1天,5分钟,拍卖,无,白银市白银区人民法院,16,355,7253,49,,6000,5,1200,3000,2,1500,3000,3,1000,0,0,0,.\data\567087982931.csv,.\data\567087982931jump.csv
粤T KZ770号的小汽车,https://sf.taobao.com/sf_item/565779480066.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,72708,2018/4/20 10:13,25,"42,048","8,400","52,560",210,1天,5分钟,拍卖,无,中山市第一人民法院,8,608,37264,50,,20370,13,1566.923077,14280,2,7140,2730,4,682.5,3360,7,480,.\data\565779480066.csv,.\data\565779480066jump.csv
车牌号为浙CCS367众泰牌小型汽车,https://sf.taobao.com/sf_item/567170747025.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,46345.9,2018/4/20 10:12,4,"33,345.90","6,500","47,637","1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,6,113,2948,13,,1000,1,1000,1000,1,1000,0,0,0,0,0,0,.\data\567170747025.csv,.\data\567170747025jump.csv
苏CJM366小型机动车,https://sf.taobao.com/sf_item/566996841760.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,69350,2018/4/20 10:12,30,"47,350","3,000","67,642",500,1天,5分钟,拍卖,无,沛县人民法院,18,230,7766,45,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566996841760.csv,.\data\566996841760jump.csv
苏D896KM现代牌轿车一辆,https://sf.taobao.com/sf_item/567105523459.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,21800,2018/4/20 10:12,11,"10,800","2,000","15,300",500,1天,5分钟,拍卖,无,溧阳市人民法院,4,48,3532,19,,2000,2,1000,0,0,0,500,1,500,1500,1,1500,.\data\567105523459.csv,.\data\567105523459jump.csv
鲁KY6729五菱牌轻型普通货车,https://sf.taobao.com/sf_item/567081842166.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,7050,2018/4/20 10:12,8,"3,500",400,"3,500",50,1天,5分钟,拍卖,无,乳山市人民法院,7,103,2927,60,,600,7,85.71428571,0,0,0,600,7,85.71428571,0,0,0,.\data\567081842166.csv,.\data\567081842166jump.csv
五菱面包车一辆,https://sf.taobao.com/sf_item/567150575193.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,910,2018/4/20 10:11,12,600,100,600,10,1天,5分钟,拍卖,无,兰陵县人民法院,4,28,3113,30,,20,2,10,0,0,0,10,1,10,10,1,10,.\data\567150575193.csv,.\data\567150575193jump.csv
闽C2Y063号佳美JTDBE30K400小轿车一辆,https://sf.taobao.com/sf_item/566854856363.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,39800,2018/4/20 10:11,7,"23,800","4,000","34,000",400,1天,5分钟,拍卖,无,泉州市丰泽区人民法院,8,103,6470,34,,2800,2,1400,2800,2,1400,0,0,0,0,0,0,.\data\566854856363.csv,.\data\566854856363jump.csv
车牌号为鲁A820BU大众桑塔纳车辆,https://sf.taobao.com/sf_item/567169711641.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,64000,2018/4/20 10:10,9,"42,000","5,000","42,000","1,000",1天,5分钟,拍卖,无,济南市历下区人民法院,9,142,4513,23,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567169711641.csv,.\data\567169711641jump.csv
宝马牌BMW520LI（车牌号粤B0H210）小轿车,https://sf.taobao.com/sf_item/566924409635.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,347490,2018/4/20 10:10,18,"301,490","50,000","301,490","1,000",1天,5分钟,拍卖,无,深圳市罗湖区人民法院,4,151,12815,46,,1000,1,1000,0,0,0,0,0,0,1000,1,1000,.\data\566924409635.csv,.\data\566924409635jump.csv
拍卖车牌为闽BW2827别克牌小型轿车壹辆,https://sf.taobao.com/sf_item/567112451135.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,113000,2018/4/20 10:10,7,"85,000","17,000","117,159","2,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,9,297,6576,14,,2000,1,2000,0,0,0,2000,1,2000,0,0,0,.\data\567112451135.csv,.\data\567112451135jump.csv
车牌号为苏AH3Y66梅赛德斯-奔驰小轿车,https://sf.taobao.com/sf_item/566969875534.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,734000,2018/4/20 10:09,50,"420,000","80,000",,"2,000",1天,5分钟,拍卖,无,南京市建邺区人民法院,17,750,20312,117,"600,000",82000,12,6833.333333,0,0,0,52000,7,7428.571429,30000,5,6000,.\data\566969875534.csv,.\data\566969875534jump.csv
三菱牌GMC6431C小型客车一辆,https://sf.taobao.com/sf_item/566586676130.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,101400,2018/4/20 10:09,9,"50,400","6,000","63,000","1,000",1天,5分钟,拍卖,无,广州市天河区人民法院,17,228,12449,32,,20000,2,10000,0,0,0,7000,1,7000,13000,1,13000,.\data\566586676130.csv,.\data\566586676130jump.csv
苏A872R0的铃木牌小轿车一辆,https://sf.taobao.com/sf_item/566617768196.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,24400,2018/4/20 10:09,4,"20,000","4,000",,400,1天,5分钟,拍卖,无,南京市高淳区人民法院,8,223,8826,11,"28,500",400,1,400,0,0,0,0,0,0,400,1,400,.\data\566617768196.csv,.\data\566617768196jump.csv
鲁G0551Z黑色奥迪牌汽车一辆,https://sf.taobao.com/sf_item/567450709367.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,140794.56,2018/4/20 10:08,15,"125,794.56","10,000","196,554","1,000",1天,5分钟,拍卖,无,诸城市人民法院,5,63,3122,16,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567450709367.csv,.\data\567450709367jump.csv
浙B08Y88号奥迪汽车,https://sf.taobao.com/sf_item/566325319922.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,58000,2018/4/20 10:08,3,"21,000","3,000","30,000","1,000",1天,5分钟,拍卖,无,宁波市奉化区人民法院,24,742,42962,32,,6000,3,2000,6000,3,2000,0,0,0,0,0,0,.\data\566325319922.csv,.\data\566325319922jump.csv
苏DHY692大众牌轿车一辆,https://sf.taobao.com/sf_item/567017774316.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,106000,2018/4/20 10:08,12,"82,000","16,000","116,400","1,000",1天,5分钟,拍卖,无,溧阳市人民法院,8,380,11203,21,,4000,1,4000,0,0,0,0,0,0,4000,1,4000,.\data\567017774316.csv,.\data\567017774316jump.csv
粤E SM922号的小型汽车,https://sf.taobao.com/sf_item/566444240576.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,112150,2018/4/20 10:08,6,"96,950","19,000","138,500","1,900",1天,5分钟,拍卖,无,中山市第一人民法院,2,353,22210,9,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566444240576.csv,.\data\566444240576jump.csv
拍卖车牌为闽DU238H路虎牌小型普通客车壹辆,https://sf.taobao.com/sf_item/566940237673.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,285000,2018/4/20 10:07,4,"180,000","36,000","248,280","3,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,14,857,16547,22,,42000,1,42000,42000,1,42000,0,0,0,0,0,0,.\data\566940237673.csv,.\data\566940237673jump.csv
有关一辆豫C3D165号胜达牌小型普通客车的第二次拍卖,https://sf.taobao.com/sf_item/567639283050.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,68800,2018/4/20 10:07,2,"64,000","12,000","79,256","1,200",1天,5分钟,拍卖,无,偃师市人民法院,3,45,1964,4,,1200,1,1200,0,0,0,1200,1,1200,0,0,0,.\data\567639283050.csv,.\data\567639283050jump.csv
皖A515N2汽车一辆,https://sf.taobao.com/sf_item/567108227453.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,178000,2018/4/20 10:06,14,"114,000","20,000","162,450","1,000",1天,5分钟,拍卖,无,嘉兴市南湖区人民法院,17,798,15321,45,,20000,3,6666.666667,5000,1,5000,15000,2,7500,0,0,0,.\data\567108227453.csv,.\data\567108227453jump.csv
粤T 12G55号的小型汽车,https://sf.taobao.com/sf_item/565944514109.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,736218,2018/4/20 10:06,50,"532,218","106,000","760,311","3,000",1天,5分钟,拍卖,无,中山市第一人民法院,12,483,28837,63,,18000,3,6000,0,0,0,0,0,0,18000,3,6000,.\data\565944514109.csv,.\data\565944514109jump.csv
车牌号为苏E28VJ6发现4 -SALAN2F6小型越野客车一辆,https://sf.taobao.com/sf_item/566798252802.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,523000,2018/4/20 10:06,18,"369,000","70,000","525,720","2,000",1天,5分钟,拍卖,无,海宁市人民法院,15,681,21053,56,,44000,6,7333.333333,0,0,0,40000,5,8000,4000,1,4000,.\data\566798252802.csv,.\data\566798252802jump.csv
浙K0816Y号名爵汽车一辆,https://sf.taobao.com/sf_item/567116882701.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,33375,2018/4/20 10:06,58,"7,500","1,000","10,300",75,1天,5分钟,拍卖,无,丽水市莲都区人民法院,26,287,7496,131,,16125,12,1343.75,8925,5,1785,2625,2,1312.5,4575,5,915,.\data\567116882701.csv,.\data\567116882701jump.csv
车牌号为浙F118ZG大众途冠汽车壹辆,https://sf.taobao.com/sf_item/567109295831.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,121000,2018/4/20 10:05,3,"60,000","10,000","85,000",500,1天,5分钟,拍卖,无,嘉兴市南湖区人民法院,29,1182,20238,62,,30500,7,4357.142857,3500,2,1750,27000,5,5400,0,0,0,.\data\567109295831.csv,.\data\567109295831jump.csv
闽H15226（品牌：起亚）小型轿车,https://sf.taobao.com/sf_item/566933245860.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,6000,2018/4/20 10:05,2,"5,500","1,100","9,500",100,1天,5分钟,拍卖,无,邵武市人民法院,4,49,3282,6,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566933245860.csv,.\data\566933245860jump.csv
丰田牌陆地巡洋舰霸道汽车一辆,https://sf.taobao.com/sf_item/566541535156.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,241400,2018/4/20 10:05,4,"170,000","17,000","170,188","1,700",1天,5分钟,拍卖,无,兴义市人民法院,18,1164,38209,41,,3400,2,1700,3400,2,1700,0,0,0,0,0,0,.\data\566541535156.csv,.\data\566541535156jump.csv
拍卖车牌为浙A0CV78福克斯牌小型轿车壹辆,https://sf.taobao.com/sf_item/566877852344.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,55000,2018/4/20 10:04,20,"25,000","5,000","34,603","1,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,8,123,10131,23,,8000,3,2666.666667,0,0,0,0,0,0,8000,3,2666.666667,.\data\566877852344.csv,.\data\566877852344jump.csv
车牌号为闽BN6518的小型轿车一辆,https://sf.taobao.com/sf_item/567082414411.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,215000,2018/4/20 10:04,19,"95,000","18,000","128,959","2,000",1天,5分钟,拍卖,无,杭州市萧山区人民法院,11,1081,20667,30,,62000,3,20666.66667,62000,3,20666.66667,0,0,0,0,0,0,.\data\567082414411.csv,.\data\567082414411jump.csv
苏GE8563海马牌小型轿车,https://sf.taobao.com/sf_item/567671775744.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,11000,2018/4/20 10:04,1,"11,000","1,000","14,374",200,1天,5分钟,拍卖,无,连云港市赣榆区人民法院,1,8,1206,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567671775744.csv,.\data\567671775744jump.csv
苏GKX869号牌车辆一台,https://sf.taobao.com/sf_item/567146523278.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,115246,2018/4/20 10:04,1,"115,246","10,000","115,246","1,000",1天,5分钟,拍卖,无,东海县人民法院,1,77,6608,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567146523278.csv,.\data\567146523278jump.csv
鲁DG6585解放牌货车一辆,https://sf.taobao.com/sf_item/566455696983.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,9300,2018/4/20 10:04,1,"7,500","1,000","7,500",100,1天,5分钟,拍卖,无,滕州市人民法院,4,61,3378,5,,1400,1,1400,1400,1,1400,0,0,0,0,0,0,.\data\566455696983.csv,.\data\566455696983jump.csv
车牌号为苏F3K580轻型厢式货车一辆,https://sf.taobao.com/sf_item/567095683164.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,25650,2018/4/20 10:04,16,"8,400",840,"12,000",150,1天,5分钟,拍卖,无,如皋市人民法院,9,81,2868,25,,13650,6,2275,1050,1,1050,150,1,150,12450,4,3112.5,.\data\567095683164.csv,.\data\567095683164jump.csv
速腾牌FV7146TG小型轿车,https://sf.taobao.com/sf_item/566736554742.htm,2018/4/19 9:00,2018/4/20 10:00,第一次拍卖,52750,2018/4/20 10:04,13,"43,750","4,400","62,500",500,1天1小时,5分钟,拍卖,无,邯郸市永年区人民法院,3,83,7201,19,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566736554742.csv,.\data\566736554742jump.csv
徐工牌XZJ5260JQZ20G汽车起重机,https://sf.taobao.com/sf_item/567166591871.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,343200,2018/4/20 10:04,2,"172,200","30,000","246,000","1,000",1天,5分钟,拍卖,无,徐州市云龙区人民法院,13,224,5657,55,,117000,22,5318.181818,75000,12,6250,41000,9,4555.555556,1000,1,1000,.\data\567166591871.csv,.\data\567166591871jump.csv
浙HR5768汽车,https://sf.taobao.com/sf_item/567076382771.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,382000,2018/4/20 10:02,1,"259,000","30,000","370,000","1,500",1天,5分钟,拍卖,无,江山市人民法院,5,378,10646,21,,93000,5,18600,93000,5,18600,0,0,0,0,0,0,.\data\567076382771.csv,.\data\567076382771jump.csv
车牌号为鲁BC228H的梅赛德斯-奔驰牌BJ7182V小轿车,https://sf.taobao.com/sf_item/567453055659.htm,2018/4/19 10:00,2018/4/20 10:00,第二次拍卖,220944,2018/4/20 10:02,2,"202,944","40,500","253,680","3,000",1天,5分钟,拍卖,无,河源市源城区人民法院,6,110,7611,7,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567453055659.csv,.\data\567453055659jump.csv
3台装载机和2台叉车,https://sf.taobao.com/sf_item/566802664455.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,421440,2018/4/20 10:02,1,"293,440","30,000","366,800","1,000",1天,5分钟,拍卖,无,平定县人民法院,11,222,7399,16,,113000,4,28250,103000,3,34333.33333,10000,1,10000,0,0,0,.\data\566802664455.csv,.\data\566802664455jump.csv
粤EX5750大型汽车（大运牌）,https://sf.taobao.com/sf_item/567170523383.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,175000,2018/4/20 10:02,1,"175,000","20,000","250,000","1,500",1天,5分钟,拍卖,无,佛山市高明区人民法院,1,15,927,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\567170523383.csv,.\data\567170523383jump.csv
津CZ1750帕萨特牌车,https://sf.taobao.com/sf_item/566824804777.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,26945,2018/4/20 10:00,0,"2,800",280,"4,000",55,1天,5分钟,拍卖,无,天津市第二中级人民法院,15,90,5307,41,,21945,23,954.1304348,13310,12,1109.166667,8635,11,785,0,0,0,.\data\566824804777.csv,.\data\566824804777jump.csv
苏E11CA6号福特牌机动车一辆,https://sf.taobao.com/sf_item/566864816580.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,130000,2018/4/20 10:00,0,"100,000","10,000","119,500","2,000",1天,5分钟,拍卖,无,苏州市虎丘区人民法院,6,206,10198,13,,6000,1,6000,6000,1,6000,0,0,0,0,0,0,.\data\566864816580.csv,.\data\566864816580jump.csv
路虎揽胜牌小型越野车,https://sf.taobao.com/sf_item/566876066068.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,271440,2018/4/20 10:00,0,"271,440","30,000","339,300","2,000",1天,5分钟,拍卖,无,河北省邢台市中级人民法院,1,189,13125,1,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566876066068.csv,.\data\566876066068jump.csv
